National metadata,
Indicator available,Percentage of population aged 18 and over who smoke cigarettes
Indicator description,Percentage of population aged 18 and over who smoke cigarettes
National comparability,Comparable across UK local authorities
Unit of measurement,Percentage
Definitions,
Calculations,No calculations
Other information,
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Percentage of population aged 18 and over who smoke cigarettes
Indicator content, 
Sources,
Other information,ONS (Office for National Statistics)
Source 1 periodicity,Annual
Source 1 earliest available data,2012
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandlifeexpectancies/datasets/smokinghabitsintheukanditsconstituentcountries
Source 1 link to data source text," People, population and community "
Source 1 release date,07/07/2020
Source 1 next release,TBA
Source 1 statistical classification,Official Statistic
Source 1 contact details,health.data@ons.gov.uk
Source 1 other information,
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
