National metadata,
Indicator available,Proportion of teachers in - (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country
Indicator description,"Percentage of qualified teachers in nursery, primary and secondary education."
National comparability,Comparable across UK local authorities
Unit of measurement,Percentage of qualified teachers
Definitions,
Calculations,The number of qualified teachers in a given level of education is expressed as a percentage of all (qualified and unqualified) teachers in that level of education.
Other information,"Data is based on state funded public schools. All public schools include - nursery, primary, secondary, special and centrally employed schools. The proportion of qualified teachers includes both full and part time teachers. An unqualified teacher is either a trainee working towards qualified teacher status (QTS); an overseas trained teacher who has not exceeded the four years they are allowed to teach without having QTS; or an instructor who has a particular skill who can be employed for so long as a qualified teacher is not available. More detailed breakdowns at school level are available in the source publication."
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Percentage of qualified teachers
Indicator content,
Sources,
Source 1 organisation,Department for Education
Source 1 periodicity,Annual
Source 1 earliest available data,2016
Source 1 geographical coverage,England
Source 1 link to data source,https://www.gov.uk/government/collections/statistics-school-workforce
Source 1 link to data source text,School workforce statistics
Source 1 release date,25/06/2020
Source 1 next release,
Source 1 statistical classification,Official
Source 1 contact details,
Source 1 other information,
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
