Year,Group,Value
2013,before housing costs,16.56
2014,before housing costs,
2015,before housing costs,17.2
2016,before housing costs,
2017,before housing costs,17.73
2018,before housing costs,21.29
2013,after housing costs,26.44
2014,after housing costs,
2015,after housing costs,27.76
2016,after housing costs,
2017,after housing costs,27.89
2018,after housing costs,27.26
2013,before housing costs (ward max),31.83
2014,before housing costs (ward max),
2015,before housing costs (ward max),32.48
2016,before housing costs (ward max),
2017,before housing costs (ward max),35.77
2018,before housing costs (ward max),48.63
2013,after housing costs (ward max),47.9
2014,after housing costs (ward max),
2015,after housing costs (ward max),49.79
2016,after housing costs (ward max),
2017,after housing costs (ward max),51.78
2018,after housing costs (ward max),50.29
2013,before housing costs (ward min),3.15
2014,before housing costs (ward min),
2015,before housing costs (ward min),3.73
2016,before housing costs (ward min),
2017,before housing costs (ward min),3.41
2018,before housing costs (ward min),6.85
2013,after housing costs (ward min),5.23
2014,after housing costs (ward min),
2015,after housing costs (ward min),6.25
2016,after housing costs (ward min),
2017,after housing costs (ward min),5.7
2018,after housing costs (ward min),11.13
