Year,Group,Value
2010,Tonnes CO2 per capita,6.44
2011,Tonnes CO2 per capita,5.87
2012,Tonnes CO2 per capita,6.09
2013,Tonnes CO2 per capita,5.89
2014,Tonnes CO2 per capita,5.21
2015,Tonnes CO2 per capita,4.99
2016,Tonnes CO2 per capita,4.68
2010,K Tonnes of total CO2 emissions,2230.9
2011,K Tonnes of total CO2 emissions,2044.2
2012,K Tonnes of total CO2 emissions,2116.9
2013,K Tonnes of total CO2 emissions,1940.7
2014,K Tonnes of total CO2 emissions,2038.8
2015,K Tonnes of total CO2 emissions,1967.7
2016,K Tonnes of total CO2 emissions,1777
2017,K Tonnes of total CO2 emissions,1640
2018,K Tonnes of total CO2 emissions,1547
