Year,Site,Species,Value
2010-06-28,Weavern Long Meadow,,11
2010-06-28,Widdenham Farm,,11
2010-07-27,Weavern Long Meadow,,9
2010-07-27,Widdenham Farm,,11
2010-08-31,Widdenham Farm,,12
2010-08-31,Weavern Long Meadow,,10
2010-10-12,Widdenham Farm,,12
2010-10-12,Weavern Long Meadow,,12
2011-04-16,Weavern Long Meadow,,15
2011-04-16,Widdenham Farm,,13
2011-04-16,Honeybrook,,15
2011-07-13,Widdenham Farm,,11
2011-08-22,Weavern Long Meadow,,11
2011-09-26,Weavern Long Meadow,,9
2011-09-26,Widdenham Farm,,11
2011-11-16,Widdenham Farm,,9
2012-04-11,Widdenham Farm,,12
2012-04-11,Weavern Long Meadow,,15
2012-04-21,Honeybrook,,15
2012-05-29,Widdenham Farm,,15
2012-05-29,Weavern Long Meadow,,14
2012-07-20,Widdenham Farm,,10
2012-07-20,Weavern Long Meadow,,12
2012-08-20,Weavern Long Meadow,,12
2012-08-20,Widdenham Farm,,9
2012-10-12,Conygre Mead,,6
2012-11-14,Pinkney,,6
2012-12-18,Conygre Mead,,6
2013-01-28,Pinkney,,8
2013-04-15,Conygre Mead,,6
2013-04-17,Weavern Long Meadow,,12
2013-04-17,Widdenham Farm,,14
2013-05-03,Honeybrook,,11
2013-05-24,Conygre Mead,,12
2013-05-31,Widdenham Farm,,15
2013-05-31,Weavern Long Meadow,,12
2013-06-14,Conygre Mead,,11
2013-06-24,Widdenham Farm,,10
2013-06-24,Weavern Long Meadow,,14
2013-07-16,Conygre Mead,,11
2013-07-28,Weavern Long Meadow,,9
2013-08-06,Widdenham Farm,,11
2013-08-19,Honeybrook,,9
2013-08-21,Conygre Mead,,6
2013-08-29,Weavern Long Meadow,,11
2013-08-29,Widdenham Farm,,11
2013-09-02,Conygre Mead,,7
2013-09-05,Pinkney,,11
2013-09-23,Weavern Long Meadow,,11
2013-09-23,Honeybrook,,9
2013-09-23,Widdenham Farm,,11
2013-09-27,Conygre Mead,,8
2013-10-24,Conygre Mead,,7
2013-11-22,Weavern Long Meadow,,10
2013-11-22,Widdenham Farm,,11
2013-12-02,Conygre Mead,,6
2014-04-01,Conygre Mead,,9
2014-04-08,Pinkney,,12
2014-04-28,Pinkney,,13
2014-05-01,Conygre Mead,,11
2014-05-02,Pinkney,,9
2014-05-05,Pinkney,,12
2014-05-26,Woodbridge Bridge,,9
2014-06-02,Conygre Mead,,10
2014-06-09,Woodbridge Bridge,,8
2014-07-31,Pinkney,,9
2014-07-31,Conygre Mead,,10
2014-08-19,Conygre Mead,,11
2014-08-19,Pinkney,,10
2014-08-23,Honeybrook,,12
2014-08-29,Weavern Long Meadow,,15
2014-08-29,Widdenham Farm,,12
2014-09-08,Pinkney,,11
2014-09-08,Conygre Mead,,11
2014-09-24,Honeybrook,,9
2014-10-03,Weavern Long Meadow,,12
2014-10-03,Widdenham Farm,,12
2014-10-28,Conygre Mead,,10
2014-10-28,Pinkney,,11
2014-11-01,Weavern Long Meadow,,13
2014-11-01,Widdenham Farm,,12
2014-11-30,Pinkney,,12
2014-11-30,Conygre Mead,,9
2015-02-18,Widdenham Farm,,13
2015-03-21,Widdenham Farm,,12
2015-03-23,Weavern Long Meadow,,14
2015-04-30,Conygre Mead,,12
2015-05-01,Widdenham Farm,,11
2015-05-01,Weavern Long Meadow,,15
2015-05-28,Conygre Mead,,13
2015-05-28,Pinkney,,14
2015-05-30,Upstream of Stretchline,,9
2015-06-08,Tellisford,,15
2015-06-16,Weavern Long Meadow,,14
2015-06-16,Widdenham Farm,,16
2015-06-20,Old Cattle Crossing,,14
2015-06-20,Upstream of Stretchline,,8
2015-06-30,Pinkney,,9
2015-06-30,Conygre Mead,,8
2015-07-14,Tellisford,,14
2015-07-18,Old Cattle Crossing,,14
2015-07-28,Conygre Mead,,10
2015-07-28,Pinkney,,13
2015-07-30,Upstream of Stretchline,,4
2015-08-03,Widdenham Farm,,8
2015-08-03,Weavern Long Meadow,,9
2015-08-03,Honeybrook,,14
2015-08-12,Dragonfly Meadow by WWT Vincents Wood Reserve,,0
2015-08-23,Old Cattle Crossing,,12
2015-08-27,Upstream of Stretchline,,6
2015-08-28,Pinkney,,12
2015-08-28,Conygre Mead,,10
2015-08-31,Tellisford,,13
2015-09-17,Dragonfly Meadow by WWT Vincents Wood Reserve,,3
2015-09-18,Upstream of Stretchline,,8
2015-09-22,Widdenham Farm,,9
2015-09-26,Old Cattle Crossing,,13
2015-09-28,Conygre Mead,,7
2015-09-28,Pinkney,,9
2015-10-08,Tellisford,,7
2015-10-14,Honeybrook,,11
2015-10-17,Dragonfly Meadow by WWT Vincents Wood Reserve,,4
2015-10-30,Conygre Mead,,8
2015-10-30,Pinkney,,7
2015-10-31,Old Cattle Crossing,,14
2015-11-01,Upstream of Stretchline,,7
2015-11-21,Dragonfly Meadow by WWT Vincents Wood Reserve,,2
2015-11-22,Old Cattle Crossing,,13
2015-12-04,Upstream of Stretchline,,8
2015-12-17,Dragonfly Meadow by WWT Vincents Wood Reserve,,3
2015-12-22,Old Cattle Crossing,,12
2016-01-23,Wellow Ford,,6
2016-01-23,Old Cattle Crossing,,12
2016-01-24,Upstream of Stretchline,,10
2016-02-14,Nightingale Valley,,7
2016-02-27,Upstream of Stretchline,,9
2016-02-27,Wellow Ford,,6
2016-02-27,Dragonfly Meadow by WWT Vincents Wood Reserve,,7
2016-02-28,Snuff Mills Steps,,8
2016-03-04,Badocks Wood,,4
2016-03-05,Old Cattle Crossing,,17
2016-03-05,Old Cattle Crossing,,13
2016-03-05,Nightingale Valley,,7
2016-03-14,Honeybrook,,13
2016-03-14,Weavern Long Meadow,,9
2016-03-21,Widdenham Farm,,12
2016-03-24,Dragonfly Meadow by WWT Vincents Wood Reserve,,5
2016-04-01,Castlefields Park,,8
2016-04-06,Upstream of Stretchline,,10
2016-04-07,Wellow Ford,,7
2016-04-09,Old Cattle Crossing,,13
2016-04-13,Badocks Wood,,4
2016-04-13,Badocks Wood,,4
2016-04-14,Honeybrook,,17
2016-04-17,Snuff Mills Steps,,12
2016-04-20,Weavern Long Meadow,,18
2016-04-20,Widdenham Farm,,15
2016-04-21,Dragonfly Meadow by WWT Vincents Wood Reserve,,6
2016-04-22,Shrowle,,11
2016-04-23,Nightingale Valley,,6
2016-05-04,Upstream of Stretchline,,9
2016-05-06,Tellisford,,10
2016-05-10,Badocks Wood,,5
2016-05-11,Castlefields Park,,8
2016-05-16,Pinkney,,15
2016-05-16,Conygre Mead,,12
2016-05-20,Shrowle,,11
2016-05-20,Snuff Mills Steps,,13
2016-05-21,Wellow Ford,,10
2016-05-24,Weavern Long Meadow,,16
2016-05-24,Widdenham Farm,,15
2016-05-26,Dragonfly Meadow by WWT Vincents Wood Reserve,,6
2016-06-04,Old Cattle Crossing,,18
2016-06-09,Tellisford,,15
2016-06-09,Dragonfly Meadow by WWT Vincents Wood Reserve,,6
2016-06-09,Badocks Wood,,5
2016-06-09,Upstream of Stretchline,,12
2016-06-12,Snuff Mills Steps,,11
2016-06-17,Conygre Mead,,11
2016-06-18,"6, Round House, Calne",,10
2016-06-26,Shrowle,,13
2016-07-05,Badocks Wood,,5
2016-07-07,Nightingale Valley,,6
2016-07-08,Old Cattle Crossing,,14
2016-07-10,Wellow Ford,,7
2016-07-12,Upstream of Stretchline,,9
2016-07-14,Widdenham Farm,,12
2016-07-14,Weavern Long Meadow,,14
2016-07-15,Castlefields Park,,7
2016-07-24,Shrowle,,13
