Year,Ward,GeoCode,Value
2018-19,Southville,E05010914,4.46897417021
2018-19,Avonmouth & Lawrence Weston,E05010886,4.089961563
2018-19,Bishopston & Ashley Down,E05010888,5.81587351096
2018-19,Hartcliffe & Withywood,E05010900,24.4331736895
2018-19,Central,E05010892,8.49749709037
2018-19,Knowle,E05010906,5.86412511509
2018-19,Ashley,E05010885,7.26446540696
2018-19,Filwood,E05010898,14.4227027602
2018-19,Hengrove & Whitchurch Park,E05010902,7.2204431922
2018-19,Horfield,E05010904,9.32559709429
2018-19,Westbury-on-Trym & Henleaze,E05010917,0.0
2018-19,Brislington West,E05010891,3.97612507315
2018-19,Southmead,E05010913,10.3656047247
2018-19,Stockwood,E05010915,16.2149819857
2018-19,,,7.27656776432
2018-19,Bishopsworth,E05010889,3.09240439077
2018-19,Cotham,E05010895,2.4395682794
2018-19,Henbury & Brentry,E05010901,10.3852540143
2018-19,Lawrence Hill,E05010907,11.0817839927
2018-19,St George Troopers Hill,E05010911,5.08793278836
2018-19,Bedminster,E05010887,2.85083310274
2018-19,Easton,E05010896,5.34185208218
2018-19,Eastville,E05010897,6.90864334969
2018-19,Frome Vale,E05010899,13.1714360291
2018-19,Hillfields,E05010903,3.58885892722
2018-19,Hotwells & Harbourside,E05010905,2.15429906865
2018-19,Redland,E05010909,5.88007818895
2018-19,Stoke Bishop,E05010916,3.17454257076
2018-19,Clifton,E05010893,5.85023015675
2018-19,Clifton Down,E05010894,2.54050101118
2018-19,Lockleaze,E05010908,11.1090181835
2018-19,St George Central,E05010910,4.16298604677
2018-19,St George West,E05010912,8.7844048993
2018-19,Windmill Hill,E05010918,6.22870392939
2018-19,Brislington East,E05010890,6.94678835333
2019-20,Hotwells & Harbourside,E05010905,1.92504350914
2019-20,Clifton,E05010893,1.68850041513
2019-20,Knowle,E05010906,2.21419108152
2019-20,Hillfields,E05010903,7.2508679895
2019-20,St George Central,E05010910,7.26293309458
2019-20,Avonmouth & Lawrence Weston,E05010886,8.25241196021
2019-20,,,5.0271543838
2019-20,Brislington East,E05010890,5.06214162052
2019-20,Central,E05010892,1.98056508835
2019-20,Lockleaze,E05010908,5.34503028871
2019-20,Stoke Bishop,E05010916,2.31836401965
2019-20,Windmill Hill,E05010918,3.48500005464
2019-20,Cotham,E05010895,1.01850579535
2019-20,Easton,E05010896,4.05714464847
2019-20,Eastville,E05010897,8.06649175218
2019-20,Lawrence Hill,E05010907,8.10748376835
2019-20,Southmead,E05010913,3.66082349859
2019-20,Southville,E05010914,1.27565510669
2019-20,Frome Vale,E05010899,8.60622828844
2019-20,Henbury & Brentry,E05010901,5.00711854197
2019-20,Bishopston & Ashley Down,E05010888,4.85391824059
2019-20,Bishopsworth,E05010889,4.34303834911
2019-20,Hartcliffe & Withywood,E05010900,12.0405292436
2019-20,St George Troopers Hill,E05010911,3.26417548091
2019-20,St George West,E05010912,4.92348911905
2019-20,Stockwood,E05010915,6.03805608393
2019-20,Bedminster,E05010887,3.75118181468
2019-20,Brislington West,E05010891,3.81963691882
2019-20,Ashley,E05010885,8.57848180576
2019-20,Clifton Down,E05010894,2.81869829445
2019-20,Filwood,E05010898,10.8517731365
2019-20,Hengrove & Whitchurch Park,E05010902,8.45616019871
2019-20,Horfield,E05010904,4.64725619978
2019-20,Redland,E05010909,0.0
2019-20,Westbury-on-Trym & Henleaze,E05010917,0.740358550237
2020-21,Central,E05010892,5.45584391946
2020-21,Ashley,E05010885,4.07195042511
2020-21,Brislington West,E05010891,1.01639039032
2020-21,Knowle,E05010906,2.43370555701
2020-21,Lawrence Hill,E05010907,11.7263355898
2020-21,Cotham,E05010895,2.37054546883
2020-21,Hengrove & Whitchurch Park,E05010902,2.71002031267
2020-21,Lockleaze,E05010908,5.53685354273
2020-21,Southville,E05010914,4.91319544877
2020-21,Brislington East,E05010890,2.32481024619
2020-21,Henbury & Brentry,E05010901,2.67682720034
2020-21,St George Troopers Hill,E05010911,4.05445701515
2020-21,Bedminster,E05010887,0.791386725203
2020-21,Bishopsworth,E05010889,1.69810980462
2020-21,Redland,E05010909,1.89307784853
2020-21,Southmead,E05010913,2.68786220173
2020-21,Clifton,E05010893,7.46279163967
2020-21,Easton,E05010896,4.57320145269
2020-21,Hartcliffe & Withywood,E05010900,12.2121670476
2020-21,Westbury-on-Trym & Henleaze,E05010917,0.0
2020-21,,,4.17458099754
2020-21,Eastville,E05010897,6.36657189261
2020-21,Hotwells & Harbourside,E05010905,2.60406205602
2020-21,Stockwood,E05010915,5.69775806945
2020-21,Avonmouth & Lawrence Weston,E05010886,7.21460071341
2020-21,Bishopston & Ashley Down,E05010888,1.60442158709
2020-21,Clifton Down,E05010894,0.943206432019
2020-21,Filwood,E05010898,5.74112931965
2020-21,Frome Vale,E05010899,4.34640972946
2020-21,Hillfields,E05010903,3.93399142792
2020-21,Horfield,E05010904,5.33754678591
2020-21,St George Central,E05010910,2.92411669418
2020-21,St George West,E05010912,1.36262694879
2020-21,Stoke Bishop,E05010916,1.88556726735
2020-21,Windmill Hill,E05010918,2.15036381225
