Year,BMI,Observation status,Unit multiplier,Unit measure,Value
2006/07,Overweight (including obesity),Undefined,Units,Percentage (%),22.1997
2007/08,Overweight (including obesity),Undefined,Units,Percentage (%),25.4707
2008/09,Overweight (including obesity),Undefined,Units,Percentage (%),25.0701
2009/10,Overweight (including obesity),Undefined,Units,Percentage (%),25.7975
2010/11,Overweight (including obesity),Undefined,Units,Percentage (%),22.8943
2011/12,Overweight (including obesity),Undefined,Units,Percentage (%),23.3552
2012/13,Overweight (including obesity),Undefined,Units,Percentage (%),21.7326
2013/14,Overweight (including obesity),Undefined,Units,Percentage (%),22.9167
2014/15,Overweight (including obesity),Undefined,Units,Percentage (%),23.0201
2015/16,Overweight (including obesity),Undefined,Units,Percentage (%),22.8577
2016/17,Overweight (including obesity),Undefined,Units,Percentage (%),24.1621
2017/18,Overweight (including obesity),Undefined,Units,Percentage (%),21.6721
2018/19,Overweight (including obesity),Undefined,Units,Percentage (%),22.2005
2006/07,Underweight,Undefined,Units,Percentage (%),1.5182
2007/08,Underweight,Undefined,Units,Percentage (%),0.8876
2008/09,Underweight,Undefined,Units,Percentage (%),0.5096
2009/10,Underweight,Undefined,Units,Percentage (%),0.6582
2010/11,Underweight,Undefined,Units,Percentage (%),0.6998
2011/12,Underweight,Undefined,Units,Percentage (%),0.5878
2012/13,Underweight,Undefined,Units,Percentage (%),0.9243
2013/14,Underweight,Undefined,Units,Percentage (%),0.7353
2014/15,Underweight,Undefined,Units,Percentage (%),0.7381
2015/16,Underweight,Undefined,Units,Percentage (%),0.798
2016/17,Underweight,Undefined,Units,Percentage (%),0.5491
2017/18,Underweight,Undefined,Units,Percentage (%),0.857
2018/19,Underweight,Undefined,Units,Percentage (%),0.7803
