Year,Unit,Sex,Value
2008,Alcohol related mortality rate ,Male,85.51510844
2008,Alcohol related mortality rate ,Female,29.80448395
2008,Alcohol related mortality rate ,Persons,54.79726806
2009,Alcohol related mortality rate ,Male,78.56807881
2009,Alcohol related mortality rate ,Female,34.20068992
2009,Alcohol related mortality rate ,Persons,53.92887046
2010,Alcohol related mortality rate ,Male,81.36794965
2010,Alcohol related mortality rate ,Female,28.53918067
2010,Alcohol related mortality rate ,Persons,52.92821441
2011,Alcohol related mortality rate ,Male,80.5154111
2011,Alcohol related mortality rate ,Female,29.72817215
2011,Alcohol related mortality rate ,Persons,52.50952533
2012,Alcohol related mortality rate ,Male,80.70097787
2012,Alcohol related mortality rate ,Female,28.10081676
2012,Alcohol related mortality rate ,Persons,52.45795872
2013,Alcohol related mortality rate ,Male,84.49294558
2013,Alcohol related mortality rate ,Female,31.04948434
2013,Alcohol related mortality rate ,Persons,55.89702053
2014,Alcohol related mortality rate ,Male,76.08540271
2014,Alcohol related mortality rate ,Female,31.68720881
2014,Alcohol related mortality rate ,Persons,53.17134535
2015,Alcohol related mortality rate ,Male,81.99129816
2015,Alcohol related mortality rate ,Female,26.637061
2015,Alcohol related mortality rate ,Persons,52.6811263
2016,Alcohol related mortality rate ,Male,72.58411423
2016,Alcohol related mortality rate ,Female,31.31824285
2016,Alcohol related mortality rate ,Persons,50.6430646
2017,Alcohol related mortality rate ,Male,82.14916208
2017,Alcohol related mortality rate ,Female,29.67409107
2017,Alcohol related mortality rate ,Persons,54.83040684
2018,Alcohol related mortality rate ,Male,82.60923991
2018,Alcohol related mortality rate ,Female,34.33168317
2018,Alcohol related mortality rate ,Persons,56.76029457
2008/09,Admission episodes for alcohol-related conditions (Narrow),Male,1004.051294
2008/09,Admission episodes for alcohol-related conditions (Narrow),Female,571.7843786
2008/09,Admission episodes for alcohol-related conditions (Narrow),Persons,777.8865327
2009/10,Admission episodes for alcohol-related conditions (Narrow),Male,978.0158876
2009/10,Admission episodes for alcohol-related conditions (Narrow),Female,646.4751465
2009/10,Admission episodes for alcohol-related conditions (Narrow),Persons,802.4314199
2010/11,Admission episodes for alcohol-related conditions (Narrow),Male,1008.399613
2010/11,Admission episodes for alcohol-related conditions (Narrow),Female,617.3109348
2010/11,Admission episodes for alcohol-related conditions (Narrow),Persons,803.1154091
2011/12,Admission episodes for alcohol-related conditions (Narrow),Male,940.2589838
2011/12,Admission episodes for alcohol-related conditions (Narrow),Female,589.3975026
2011/12,Admission episodes for alcohol-related conditions (Narrow),Persons,755.1156185
2012/13,Admission episodes for alcohol-related conditions (Narrow),Male,975.5018868
2012/13,Admission episodes for alcohol-related conditions (Narrow),Female,482.3810441
2012/13,Admission episodes for alcohol-related conditions (Narrow),Persons,720.7895275
2013/14,Admission episodes for alcohol-related conditions (Narrow),Male,1034.675531
2013/14,Admission episodes for alcohol-related conditions (Narrow),Female,529.5759489
2013/14,Admission episodes for alcohol-related conditions (Narrow),Persons,773.407551
2014/15,Admission episodes for alcohol-related conditions (Narrow),Male,987.8160906
2014/15,Admission episodes for alcohol-related conditions (Narrow),Female,574.4324292
2014/15,Admission episodes for alcohol-related conditions (Narrow),Persons,774.2687981
2015/16,Admission episodes for alcohol-related conditions (Narrow),Male,972.9457433
2015/16,Admission episodes for alcohol-related conditions (Narrow),Female,643.9467135
2015/16,Admission episodes for alcohol-related conditions (Narrow),Persons,800.0375075
2016/17,Admission episodes for alcohol-related conditions (Narrow),Male,967.8740827
2016/17,Admission episodes for alcohol-related conditions (Narrow),Female,597.563419
2016/17,Admission episodes for alcohol-related conditions (Narrow),Persons,774.2614598
2017/18,Admission episodes for alcohol-related conditions (Narrow),Male,1006.044246
2017/18,Admission episodes for alcohol-related conditions (Narrow),Female,632.650512
2017/18,Admission episodes for alcohol-related conditions (Narrow),Persons,810.4377116
2018/19,Admission episodes for alcohol-related conditions (Narrow),Male,1022.2
2018/19,Admission episodes for alcohol-related conditions (Narrow),Female,706.69
2018/19,Admission episodes for alcohol-related conditions (Narrow),Persons,855.88
2008/09,Admission episodes for alcohol-specific conditions(broad),Male,1246.170756
2008/09,Admission episodes for alcohol-specific conditions (broad),Female,390.23517
2008/09,Admission episodes for alcohol-specific conditions (broad),Persons,812.4499376
2009/10,Admission episodes for alcohol-specific conditions (broad),Male,1226.787923
2009/10,Admission episodes for alcohol-specific conditions (broad),Female,468.4369463
2009/10,Admission episodes for alcohol-specific conditions (broad),Persons,843.3189168
2010/11,Admission episodes for alcohol-specific conditions (broad),Male,1286.827161
2010/11,Admission episodes for alcohol-specific conditions (broad),Female,459.0417563
2010/11,Admission episodes for alcohol-specific conditions (broad),Persons,867.2423725
2011/12,Admission episodes for alcohol-specific conditions (broad),Male,1314.594667
2011/12,Admission episodes for alcohol-specific conditions (broad),Female,442.614738
2011/12,Admission episodes for alcohol-specific conditions (broad),Persons,874.6977139
2012/13,Admission episodes for alcohol-specific conditions (broad),Male,1207.813463
2012/13,Admission episodes for alcohol-specific conditions (broad),Female,475.7223484
2012/13,Admission episodes for alcohol-specific conditions (broad),Persons,840.5787946
2013/14,Admission episodes for alcohol-specific conditions (broad),Male,1228.756453
2013/14,Admission episodes for alcohol-specific conditions (broad),Female,444.1528222
2013/14,Admission episodes for alcohol-specific conditions (broad),Persons,832.6499575
2014/15,Admission episodes for alcohol-specific conditions (broad),Male,1319.989342
2014/15,Admission episodes for alcohol-specific conditions (broad),Female,550.2951757
2014/15,Admission episodes for alcohol-specific conditions (broad),Persons,928.056553
2015/16,Admission episodes for alcohol-specific conditions (broad),Male,1257.338586
2015/16,Admission episodes for alcohol-specific conditions (broad),Female,571.5003488
2015/16,Admission episodes for alcohol-specific conditions (broad),Persons,907.228771
2016/17,Admission episodes for alcohol-specific conditions (broad),Male,1265.648873
2016/17,Admission episodes for alcohol-specific conditions (broad),Female,609.6751781
2016/17,Admission episodes for alcohol-specific conditions (broad),Persons,928.9483056
2017/18,Admission episodes for alcohol-specific conditions (broad),Male,1275.272953
2017/18,Admission episodes for alcohol-specific conditions (broad),Female,617.6508978
2017/18,Admission episodes for alcohol-specific conditions (broad),Persons,939.232439
2018/19,Admission episodes for alcohol-specific conditions (broad),Male,1399.32
2018/19,Admission episodes for alcohol-specific conditions (broad),Female,709.51
2018/19,Admission episodes for alcohol-specific conditions (broad),Persons,1045.04
