Year,Contraceptive method,Types of contraception,Unit of measurement,Value
2014/15,Long acting reversible contraceptives,,Percentage,39
2014/15,Long acting reversible contraceptives,IU device,Percentage,8
2014/15,Long acting reversible contraceptives,IU system,Percentage,8
2014/15,Long acting reversible contraceptives,Implant,Percentage,14
2014/15,Long acting reversible contraceptives,Injectable,Percentage,9
2014/15,User dependent,,Percentage,61
2014/15,User dependent,Oral (pill),Percentage,49
2014/15,User dependent,Male condom,Percentage,11
2014/15,User dependent,Female condom,Percentage,
2014/15,User dependent,Patch,Percentage,
2014/15,User dependent,Other,Percentage,1
2015/16,Long acting reversible contraceptives,,Percentage,40
2015/16,Long acting reversible contraceptives,IU device,Percentage,9
2015/16,Long acting reversible contraceptives,IU system,Percentage,8
2015/16,Long acting reversible contraceptives,Implant,Percentage,14
2015/16,Long acting reversible contraceptives,Injectable,Percentage,9
2015/16,User dependent,,Percentage,60
2015/16,User dependent,Oral (pill),Percentage,47
2015/16,User dependent,Male condom,Percentage,12
2015/16,User dependent,Female condom,Percentage,
2015/16,User dependent,Patch,Percentage,
2015/16,User dependent,Other,Percentage,1
2016/17,Long acting reversible contraceptives,,Percentage,40
2016/17,Long acting reversible contraceptives,IU device,Percentage,10
2016/17,Long acting reversible contraceptives,IU system,Percentage,8
2016/17,Long acting reversible contraceptives,Implant,Percentage,13
2016/17,Long acting reversible contraceptives,Injectable,Percentage,9
2016/17,User dependent,,Percentage,60
2016/17,User dependent,Oral (pill),Percentage,46
2016/17,User dependent,Male condom,Percentage,12
2016/17,User dependent,Female condom,Percentage,
2016/17,User dependent,Patch,Percentage,
2016/17,User dependent,Other,Percentage,1
2017/18,Long acting reversible contraceptives,,Percentage,40
2017/18,Long acting reversible contraceptives,IU device,Percentage,11
2017/18,Long acting reversible contraceptives,IU system,Percentage,9
2017/18,Long acting reversible contraceptives,Implant,Percentage,12
2017/18,Long acting reversible contraceptives,Injectable,Percentage,8
2017/18,User dependent,,Percentage,60
2017/18,User dependent,Oral (pill),Percentage,45
2017/18,User dependent,Male condom,Percentage,14
2017/18,User dependent,Female condom,Percentage,
2017/18,User dependent,Patch,Percentage,
2017/18,User dependent,Other,Percentage,1
2018/19,Long acting reversible contraceptives,,Percentage,42
2018/19,Long acting reversible contraceptives,IU device,Percentage,11
2018/19,Long acting reversible contraceptives,IU system,Percentage,10
2018/19,Long acting reversible contraceptives,Implant,Percentage,13
2018/19,Long acting reversible contraceptives,Injectable,Percentage,7
2018/19,User dependent,,Percentage,58
2018/19,User dependent,Oral (pill),Percentage,42
2018/19,User dependent,Male condom,Percentage,15
2018/19,User dependent,Female condom,Percentage,
2018/19,User dependent,Patch,Percentage,
2018/19,User dependent,Other,Percentage,
