Year,Units,Subject,Sex,Unit measure,Unit multiplier,Observation status,Value
2011,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,83.0
2011,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,80.0
2011,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,87.0
2011,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,88.0
2011,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,87.0
2011,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,90.0
2012,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,87.0
2012,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,83.0
2012,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,91.0
2012,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,90.0
2012,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,88.0
2012,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,92.0
2013,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,89.0
2013,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,87.0
2013,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,92.0
2013,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,91.0
2013,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,89.0
2013,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,93.0
2014,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,89.0
2014,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,87.0
2014,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,92.0
2014,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,92.0
2014,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,92.0
2014,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,92.0
2015,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,90.0
2015,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,87.0
2015,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,93.0
2015,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,92.0
2015,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,91.0
2015,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,94.0
2016,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,71.0
2016,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,67.0
2016,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,76.0
2016,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,70.0
2016,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,69.0
2016,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,72.0
2017,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,73.0
2017,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,71.0
2017,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,76.0
2017,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,75.0
2017,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,75.0
2017,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,74.0
2018,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,73.0
2018,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,70.0
2018,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,77.0
2018,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,75.0
2018,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,74.0
2018,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,75.0
2010,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,82.0
2010,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,79.0
2010,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,85.0
2010,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,80.0
2010,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,81.0
2010,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,79.0
2011,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,81.0
2011,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,76.0
2011,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,86.0
2011,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,80.0
2011,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,79.0
2011,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,80.0
2012,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,84.0
2012,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,81.0
2012,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,88.0
2012,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,83.0
2012,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,83.0
2012,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,84.0
2013,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,86.0
2013,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,83.0
2013,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,88.0
