Year,Sex,Learning category,Learning sub-category (higher),Learning sub-category (lower),GeoCode,Observation status,Unit multiplier,Unit measure,Value
2012/13,Girls,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),84
2012/13,Girls,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),83.7
2012/13,Girls,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),80.2
2012/13,Girls,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),75.5
2012/13,Girls,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),86.9
2012/13,Girls,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),86.5
2012/13,Girls,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),88.9
2012/13,Girls,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),81.2
2012/13,Girls,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),90.3
2012/13,Girls,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),89.2
2012/13,Girls,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),86.5
2012/13,Girls,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),70.5
2012/13,Girls,Specific areas of learning,Expressive arts and design,16: Exploring and using media and materials,E06000023,Undefined,Units,Percentage (%),89.5
2012/13,Girls,Specific areas of learning,Expressive arts and design,17: Being imaginative,E06000023,Undefined,Units,Percentage (%),87.9
2012/13,Girls,Specific areas of learning,Expressive arts and design,,E06000023,Undefined,Units,Percentage (%),86
2012/13,Girls,Specific areas of learning,Literacy,10: Writing,E06000023,Undefined,Units,Percentage (%),68.4
2012/13,Girls,Specific areas of learning,Literacy,9: Reading,E06000023,Undefined,Units,Percentage (%),72.2
2012/13,Girls,Specific areas of learning,Literacy,,E06000023,Undefined,Units,Percentage (%),65.8
2012/13,Girls,Specific areas of learning,Mathematics,11: Numbers,E06000023,Undefined,Units,Percentage (%),67.3
2012/13,Girls,Specific areas of learning,Mathematics,"12: Shape, space and measures",E06000023,Undefined,Units,Percentage (%),75.6
2012/13,Girls,Specific areas of learning,Mathematics,,E06000023,Undefined,Units,Percentage (%),65.9
2012/13,Girls,Specific areas of learning,Understanding the world,13: People and communities,E06000023,Undefined,Units,Percentage (%),82.7
2012/13,Girls,Specific areas of learning,Understanding the world,14: The World,E06000023,Undefined,Units,Percentage (%),81.1
2012/13,Girls,Specific areas of learning,Understanding the world,15: Technology,E06000023,Undefined,Units,Percentage (%),85
2012/13,Girls,Specific areas of learning,Understanding the world,,E06000023,Undefined,Units,Percentage (%),74.6
2012/13,Girls,Specific areas of learning,,,E06000023,Undefined,Units,Percentage (%),55.8
2012/13,Girls,,,,E06000023,Undefined,Units,Percentage (%),52.9
2012/13,Boys,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),73.3
2012/13,Boys,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),75.8
2012/13,Boys,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),71.2
2012/13,Boys,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),63.2
2012/13,Boys,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),79.8
2012/13,Boys,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),75.3
2012/13,Boys,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),78.9
2012/13,Boys,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),68.4
2012/13,Boys,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),79
2012/13,Boys,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),82
2012/13,Boys,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),73.6
2012/13,Boys,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),55.4
2012/13,Boys,Specific areas of learning,Expressive arts and design,16: Exploring and using media and materials,E06000023,Undefined,Units,Percentage (%),72.3
2012/13,Boys,Specific areas of learning,Expressive arts and design,17: Being imaginative,E06000023,Undefined,Units,Percentage (%),71.2
2012/13,Boys,Specific areas of learning,Expressive arts and design,,E06000023,Undefined,Units,Percentage (%),65.7
