Year,Gender,Value
2018/2019,Boy,55.6
2018/2019,Girl,63.9
2018/2019,,59.7
2017/2018,Boy,56.4
2017/2018,Girl,66.9
2017/2018,,61.8
2016/2017,Boy,53.9
2016/2017,Girl,64.7
2016/2017,,59.3
2015/2016,Boy,56.1
2015/2016,Girl,62.9
2015/2016,,59.5
2014/2015,Boy,52.8
2014/2015,Girl,59.4
2014/2015,,56.1
2013/2014,Boy,54.6
2013/2014,Girl,61.8
2013/2014,,58.2
2012/2013,Boy,46
2012/2013,Girl,59.4
2012/2013,,52.7
2011/2012,Boy,47.2
2011/2012,Girl,57
2011/2012,,52
2010/2011,Boy,49
2010/2011,Girl,52.1
2010/2011,,50.5
