Year,Equality Group,Value
2010,,7.7
2011,,7
2012,,8.6
2013,,7.6
2014,,7
2015,,7.8
2016,,5.3
2017,,4.7
2018,,3.6
2010,Ethnic minorities,12.1
2011,Ethnic minorities,12.1
2012,Ethnic minorities,14.1
2013,Ethnic minorities,10.4
2014,Ethnic minorities,21.2
2015,Ethnic minorities,15.8
2016,Ethnic minorities,19.3
2017,Ethnic minorities,11.5
2018,Ethnic minorities,7.8
2010,Women,6.2
2011,Women,6
2012,Women,5.5
2013,Women,7.4
2014,Women,5.5
2015,Women,4.9
2016,Women,3.6
2017,Women,2.4
2018,Women,4
2010,Men,9
2011,Men,7.9
2012,Men,11.2
2013,Men,7.7
2014,Men,8.3
2015,Men,10.4
2016,Men,6.7
2017,Men,6.7
2018,Men,3.2
2010,16-24 Year olds,10
2011,16-24 Year olds,26.5
2012,16-24 Year olds,23
2013,16-24 Year olds,24
2014,16-24 Year olds,19.9
2015,16-24 Year olds,14.2
2016,16-24 Year olds,11.4
2017,16-24 Year olds,
2018,16-24 Year olds,
