Year,Group,Value
2010,Park and Ride Passengers,1434249.00
2011,Park and Ride Passengers,1333575.00
2012,Park and Ride Passengers,1292062.00
2013,Park and Ride Passengers,1275562.00
2014,Park and Ride Passengers,1264805.00
2015,Park and Ride Passengers,1410725.00
2016,Park and Ride Passengers,1329386.00
2017,Park and Ride Passengers,1533679.00
2018,Park and Ride Passengers,1716174.00
2010,Passenger journeys on buses originating in Bristol,28011284.00
2011,Passenger journeys on buses originating in Bristol,28475212.00
2012,Passenger journeys on buses originating in Bristol,25413186.00
2013,Passenger journeys on buses originating in Bristol,28813369.00
2014,Passenger journeys on buses originating in Bristol,33837991.00
2015,Passenger journeys on buses originating in Bristol,36779218.00
2016,Passenger journeys on buses originating in Bristol,38575102.00
2017,Passenger journeys on buses originating in Bristol,39676021.00
2018,Passenger journeys on buses originating in Bristol,42216084.00
