Year,Group,Ward name,GeoCode,Value
2017,Access to mobile broadband at home - Bristol Average,,,39.2
2018,Access to mobile broadband at home - Bristol Average,,,27.1
2019,Access to mobile broadband at home - Bristol Average,,,29.2
2020,Access to mobile broadband at home - Bristol Average,,,26.4
2014,Have used the internet in the last 3 months,,,89.7
2015,Have used the internet in the last 3 months,,,91.3
2016,Have used the internet in the last 3 months,,,94.9
2017,Have used the internet in the last 3 months,,,89
2018,Have used the internet in the last 3 months,,,92.8
2019,Have used the internet in the last 3 months,,,95.4
2020,Have used the internet in the last 3 months,,,94.7
2020,Access to mobile broadband at home - Wards,Stockwood,E05010915,28.6151349
2020,Access to mobile broadband at home - Wards,Westbury-on-Trym & Henleaze,E05010917,27.53826803
2020,Access to mobile broadband at home - Wards,Avonmouth & Lawrence Weston,E05010886,26.87194718
2020,Access to mobile broadband at home - Wards,Eastville,E05010897,30.58927201
2020,Access to mobile broadband at home - Wards,Horfield,E05010904,23.76920768
2020,Access to mobile broadband at home - Wards,Knowle,E05010906,30.7726762
2020,Access to mobile broadband at home - Wards,Bedminster,E05010887,20.56461809
2020,Access to mobile broadband at home - Wards,Brislington East,E05010890,18.36395889
2020,Access to mobile broadband at home - Wards,Frome Vale,E05010899,23.51503973
2020,Access to mobile broadband at home - Wards,Hotwells & Harbourside,E05010905,25.16465317
2020,Access to mobile broadband at home - Wards,Lawrence Hill,E05010907,34.33883326
2020,Access to mobile broadband at home - Wards,St George West,E05010912,34.43961915
2020,Access to mobile broadband at home - Wards,Clifton Down,E05010894,29.36158211
2020,Access to mobile broadband at home - Wards,St George Central,E05010910,27.54495123
2020,Access to mobile broadband at home - Wards,Bishopston & Ashley Down,E05010888,26.72262992
2020,Access to mobile broadband at home - Wards,Clifton,E05010893,23.28420697
2020,Access to mobile broadband at home - Wards,Easton,E05010896,15.70332932
2020,Access to mobile broadband at home - Wards,Hartcliffe & Withywood,E05010900,31.30352771
2020,Access to mobile broadband at home - Wards,Hengrove & Whitchurch Park,E05010902,24.06129526
2020,Access to mobile broadband at home - Wards,Lockleaze,E05010908,24.21112401
2020,Access to mobile broadband at home - Wards,Ashley,E05010885,32.89045712
2020,Access to mobile broadband at home - Wards,Central,E05010892,35.64633591
2020,Access to mobile broadband at home - Wards,Redland,E05010909,26.20842777
2020,Access to mobile broadband at home - Wards,Southville,E05010914,21.61252603
2020,Access to mobile broadband at home - Wards,Stoke Bishop,E05010916,23.38588623
2020,Access to mobile broadband at home - Wards,Brislington West,E05010891,25.05732185
2020,Access to mobile broadband at home - Wards,Cotham,E05010895,26.74443885
2020,Access to mobile broadband at home - Wards,St George Troopers Hill,E05010911,26.07338816
2020,Access to mobile broadband at home - Wards,Southmead,E05010913,24.60715854
2020,Access to mobile broadband at home - Wards,Windmill Hill,E05010918,24.11094109
2020,Access to mobile broadband at home - Wards,Bishopsworth,E05010889,17.59027342
2020,Access to mobile broadband at home - Wards,Filwood,E05010898,24.07725097
2020,Access to mobile broadband at home - Wards,Henbury & Brentry,E05010901,24.86872201
2020,Access to mobile broadband at home - Wards,Hillfields,E05010903,25.16724093
2019,Access to mobile broadband at home - Wards,Bishopston & Ashley Down,E05010888,24.38515373
2019,Access to mobile broadband at home - Wards,Southmead,E05010913,20.76196907
2019,Access to mobile broadband at home - Wards,Ashley,E05010885,36.90078532
2019,Access to mobile broadband at home - Wards,Bishopsworth,E05010889,25.58435618
2019,Access to mobile broadband at home - Wards,Central,E05010892,25.75811998
2019,Access to mobile broadband at home - Wards,Clifton,E05010893,30.88503865
2019,Access to mobile broadband at home - Wards,Clifton Down,E05010894,26.39925866
2019,Access to mobile broadband at home - Wards,Redland,E05010909,30.24929207
2019,Access to mobile broadband at home - Wards,St George Central,E05010910,32.36419566
2019,Access to mobile broadband at home - Wards,Stoke Bishop,E05010916,26.08339922
2019,Access to mobile broadband at home - Wards,Westbury-on-Trym & Henleaze,E05010917,22.4901227
2019,Access to mobile broadband at home - Wards,Windmill Hill,E05010918,26.93614512
2019,Access to mobile broadband at home - Wards,Brislington East,E05010890,33.08025605
2019,Access to mobile broadband at home - Wards,Hotwells & Harbourside,E05010905,32.3680323
2019,Access to mobile broadband at home - Wards,Knowle,E05010906,24.79732551
2019,Access to mobile broadband at home - Wards,St George Troopers Hill,E05010911,23.66505562
2019,Access to mobile broadband at home - Wards,Hartcliffe & Withywood,E05010900,25.78344232
2019,Access to mobile broadband at home - Wards,Southville,E05010914,25.5240441
