Year,Site Name,Value
2020,,"237,035"
2020,ABBOTSBURY B3157 PORTESHAM ROAD STW 13001,19.00
2020,ABBOTSBURY CHURCH STREET SPS 15494,6.67
2020,AFFPUDDLE SPS 14256,0.00
2020,ALFORD STW 19837,10.80
2020,ALL CANNINGS SPS 15111,258.25
2020,ALLER CSO 16692,26.57
2020,ALLINGTON OLD INN SPS 14304,1801.00
2020,ALLINGTON SPS 15120,0.00
2020,AMESBURY FLOWER LANE SPS  14323,0.75
2020,AMESBURY OFF CHURCH STREET STW  13008,3.25
2020,ATWORTH PURLPIT SPS 14463,77.42
2020,AUST STW 13012,0.00
2020,AVONMOUTH KINGSWESTON LANE STW 13013,1849.00
2020,AVONMOUTH LOWER HIGH STREET O/S NO. 27 CSO 19885,0.00
2020,AXBRIDGE OLD STW SITE SPS 13014,0.00
2020,BALTONSBOROUGH BALTONSBOROUGH MAIN SPS 14097,15.50
2020,BALTONSBOROUGH BALTONSBOROUGH MAIN SPS 14097,16.00
2020,BALTONSBOROUGH ORCHARD LEIGH CSO 16497,128.00
2020,BARFORD ST MARTIN BURCOMBE STW 13015,2332.50
2020,BARFORD ST MARTIN SPS 14354,675.45
2020,BARTON ST DAVID SPS 14283,130.25
2020,BARTON ST DAVID TOOTAL BRIDGE SPS 15316,1945.92
2020,BATH AVON STREET O/S BATH TECHNICAL COLLEGE CSO 17532,66.75
2020,BATH BATHEASTON BY-PASS CSO 19538,669.67
2020,BATH BAYTREE ROAD ALLOTMENTS R/O NO 28 CSO 17538,2.00
2020,BATH BECKHAMPTON ROAD O/S NO 50 CSO 16014,64.07
2020,BATH BELLOTTS ROAD CSO 19704,23.60
2020,BATH BEWDLEY ROAD CSO 17166,10.83
2020,BATH BLOOMFIELD ROAD NO 33 JUNCTION WITH HENSLEY ROAD CSO 16110,26.07
2020,BATH BRASSMILL LANE BETWEEN OSBOURN / AVONDALE ROAD CSO 16052,9.67
2020,BATH BRASSMILL LANE O/S NO 62 CSO 17510,0.00
2020,BATH BRASSMILL LANE OPP NO 22 CSO 17172,124.57
2020,BATH BROAD QUAY / WESTGATE STREET JUNCTION CSO 17533,284.93
2020,BATH CAR PARK ADJ J HUGHES COTTAGE CSO 17542,26.40
2020,BATH CHURCHILL BRIDGE ISLAND OPP WELLS ROAD CSO 16117,10.27
2020,BATH CLEVELAND BRIDGE TO THE WEST CSO 16073,2.17
2020,BATH DARTMOUTH AVE NR ENTRANCE TO LINEAR PARK CSO 17589,0.00
2020,BATH DORSET CLOSE O/S SCHOOL CSO 16017,1.73
2020,BATH DURLEY PARK / OLDFIELD LANE JUNCTION CSO 16019,24.40
2020,BATH EA DEPOT SPS 16050,16.50
2020,BATH ENGLISHCOMBE LANE / SOUTHDOWN ROAD JUNCTION CSO 16123,20.90
2020,BATH ENGLISHCOMBE LANE / STIRTINGDALE ROAD JUNCTION CSO 16011,0.67
2020,BATH FAIRFIELD AVENUE R/O NO 30 CSO 17537,0.00
2020,BATH FERRY LANE O/S FUNERAL DIRECTOR CSO 16046,6.60
2020,BATH FIELDINGS ROAD CSO 16058,14.30
2020,BATH FORESTER AVENUE O/S HORTON HOUSE CSO 16078,7.63
2020,BATH FOX HILL O/S WOODLANDS COTTAGE CSO 16092,25.13
2020,BATH GREEN PARK SYPHON INLET RIVER TOWPATH CSO 17531,1.17
2020,BATH GROVE STREET / ST JOHNS STREET JUNC NR BETHEL CH CSO 16064,1.80
2020,BATH GROVE STREET OPP NO 13 CSO 16061,0.00
2020,BATH HAMPTON ROW / ROCKLIFFE AVENUE R/O (NR BATHS) CSO 16084,0.47
