Year,Group,Value
2017,Access to mobile broadband at home,39.2
2018,Access to mobile broadband at home,27.1
2019,Access to mobile broadband at home,29.2
2020,Access to mobile broadband at home,26.4
2014,Have used the internet in the last 3 months,89.7
2015,Have used the internet in the last 3 months,91.3
2016,Have used the internet in the last 3 months,94.9
2017,Have used the internet in the last 3 months,89.0
2018,Have used the internet in the last 3 months,92.8
2019,Have used the internet in the last 3 months,95.4
2020,Have used the internet in the last 3 months,94.7
