Year,Units,Value
2010,Rough Sleeper snapshot by year ,8
2011,Rough Sleeper snapshot by year ,8
2012,Rough Sleeper snapshot by year ,9
2013,Rough Sleeper snapshot by year ,41
2014,Rough Sleeper snapshot by year ,41
2015,Rough Sleeper snapshot by year ,97
2016,Rough Sleeper snapshot by year ,74
2017,Rough Sleeper snapshot by year ,86
2018,Rough Sleeper snapshot by year ,82
2019,Rough Sleeper snapshot by year ,98
2019,Statutory homeless households by financial year,2089
2018,Statutory homeless households by financial year,1722
