Year,Parent Site,Site,Species,Value
27/07/2021,Main Bristol Frome,Nibley (Se-03),Gudgeon,1.0
27/07/2021,Main Bristol Frome,Nibley (Se-03),Minnow,112.0
27/07/2021,Main Bristol Frome,Nibley (Se-03),Bullhead,125.0
27/07/2021,Main Bristol Frome,Nibley (Se-03),Stone loach,47.0
27/07/2021,Main Bristol Frome,Nibley (Se-03),Brown / sea trout,1.0
27/07/2021,Bristol Avon Catchment,Cog Mill,Bullhead,128.0
27/07/2021,Bristol Avon Catchment,Cog Mill,Minnow,163.0
27/07/2021,Bristol Avon Catchment,Cog Mill,Stone loach,30.0
27/07/2021,Bristol Avon Catchment,Cog Mill,European eels > elvers,2.0
27/07/2021,Bristol Avon Catchment,Cog Mill,European elvers,1.0
27/07/2021,Bristol Avon Catchment,Cog Mill,3-spined stickleback,9.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Barbel,3.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Bleak,91.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Chub,82.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Common bream,1.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Dace,6.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Gudgeon,9.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Perch,8.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Pike,3.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Roach,168.0
10/09/2019,Bristol Avon main river,Chippenham (Te),European eels > elvers,0.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Brown / sea trout,1.0
10/09/2019,Bristol Avon main river,Chippenham (Te),Bullhead,
10/09/2019,Bristol Avon main river,Chippenham (Te),Minnow,
10/09/2019,Bristol Avon main river,Chippenham (Te),Stone loach,
10/09/2019,Bristol Avon main river,Chippenham (Te),3-spined stickleback,
29/08/2019,Main Somerset Frome,Tellisford (Te06),Gudgeon,2.0
29/08/2019,Main Somerset Frome,Tellisford (Te06),Dace,16.0
29/08/2019,Main Somerset Frome,Tellisford (Te06),Chub,26.0
29/08/2019,Main Somerset Frome,Tellisford (Te06),Pike,0.0
29/08/2019,Main Somerset Frome,Tellisford (Te06),Roach,1.0
29/08/2019,Main Somerset Frome,Tellisford (Te06),European eels > elvers,2.0
29/08/2019,Main Somerset Frome,Tellisford (Te06),Brown / sea trout,3.0
29/08/2019,Main Somerset Frome,Tellisford (Te06),Rainbow trout,18.0
29/08/2019,Main Somerset Frome,Tellisford (Te06),Bullhead,
29/08/2019,Main Somerset Frome,Tellisford (Te06),Minnow,
29/08/2019,Main Somerset Frome,Tellisford (Te06),3-spined stickleback,
29/08/2019,Main Somerset Frome,Tellisford (Te06),Stone loach,
28/08/2019,Main Somerset Frome,Creamery (Te),Bleak,13.0
28/08/2019,Main Somerset Frome,Creamery (Te),Chub,21.0
28/08/2019,Main Somerset Frome,Creamery (Te),Perch,4.0
28/08/2019,Main Somerset Frome,Creamery (Te),Rudd,1.0
28/08/2019,Main Somerset Frome,Creamery (Te),Dace,1.0
28/08/2019,Main Somerset Frome,Creamery (Te),Gudgeon,9.0
28/08/2019,Main Somerset Frome,Creamery (Te),Roach,11.0
28/08/2019,Main Somerset Frome,Creamery (Te),Minnow,
28/08/2019,Main Somerset Frome,Creamery (Te),Bullhead,
21/08/2019,Bristol Avon main river,Lacock (Te),Dace,6.0
21/08/2019,Bristol Avon main river,Lacock (Te),Gudgeon,7.0
21/08/2019,Bristol Avon main river,Lacock (Te),Chub,5.0
21/08/2019,Bristol Avon main river,Lacock (Te),Barbel,11.0
21/08/2019,Bristol Avon main river,Lacock (Te),Bleak,2.0
21/08/2019,Bristol Avon main river,Lacock (Te),Roach,14.0
21/08/2019,Bristol Avon main river,Lacock (Te),Pike,1.0
21/08/2019,Bristol Avon main river,Lacock (Te),Lamprey sp. ammocoetes,0.0
21/08/2019,Bristol Avon main river,Lacock (Te),Bullhead,
21/08/2019,Bristol Avon main river,Lacock (Te),Stone loach,
21/08/2019,Bristol Avon main river,Lacock (Te),Minnow,
31/07/2019,Main Somerset Frome,D/S Scutts Bridge (Te),Dace,11.0
31/07/2019,Main Somerset Frome,D/S Scutts Bridge (Te),Gudgeon,11.0
31/07/2019,Main Somerset Frome,D/S Scutts Bridge (Te),Roach,29.0
31/07/2019,Main Somerset Frome,D/S Scutts Bridge (Te),Chub,31.0
31/07/2019,Main Somerset Frome,D/S Scutts Bridge (Te),Bullhead,
31/07/2019,Main Somerset Frome,D/S Scutts Bridge (Te),Minnow,
31/07/2019,Main Somerset Frome,D/S Scutts Bridge (Te),Stone loach,
31/07/2019,Main Somerset Frome,D/S Scutts Bridge (Te),3-spined stickleback,
24/07/2019,Main Somerset Frome,Blatchbridge (Te),Chub,11.0
24/07/2019,Main Somerset Frome,Blatchbridge (Te),Dace,3.0
24/07/2019,Main Somerset Frome,Blatchbridge (Te),Gudgeon,5.0
24/07/2019,Main Somerset Frome,Blatchbridge (Te),Roach,44.0
24/07/2019,Main Somerset Frome,Blatchbridge (Te),Pike,7.0
24/07/2019,Main Somerset Frome,Blatchbridge (Te),Perch,9.0
24/07/2019,Main Somerset Frome,Blatchbridge (Te),Minnow,
24/07/2019,Main Somerset Frome,Blatchbridge (Te),Bullhead,
24/07/2019,Main Somerset Frome,Blatchbridge (Te),Stone loach,
24/07/2019,Main Somerset Frome,Blatchbridge (Te),3-spined stickleback,
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),Barbel,0.0
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),Chub,57.0
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),Dace,46.0
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),Gudgeon,43.0
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),Roach,128.0
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),European eels > elvers,1.0
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),Minnow,
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),Bullhead,
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),Stone loach,
23/07/2019,Main Somerset Frome,Snarlton Farm (Te),3-spined stickleback,
18/07/2019,Main River Chew,Keynsham Park (Te),Chub,3.0
18/07/2019,Main River Chew,Keynsham Park (Te),Dace,49.0
18/07/2019,Main River Chew,Keynsham Park (Te),Gudgeon,31.0
18/07/2019,Main River Chew,Keynsham Park (Te),Perch,2.0
