Year,Series,Deprivation decile,Ward,GeoCode,Value
2017-18,Ward,,Bedminster,E05010887,82.2946637648
2017-18,Ward,,Filwood,E05010898,51.6686529357
2017-18,Ward,,Central,E05010892,64.6462857247
2017-18,Ward,,Windmill Hill,E05010918,81.8680754249
2017-18,Ward,,Bishopston & Ashley Down,E05010888,84.1006081745
2017-18,Ward,,Stockwood,E05010915,63.1566896363
2017-18,Ward,,Cotham,E05010895,93.1064033308
2017-18,Ward,,Redland,E05010909,89.8850772406
2017-18,Ward,,Hillfields,E05010903,61.7700834278
2017-18,Ward,,Southville,E05010914,84.2630517681
2017-18,Ward,,Brislington West,E05010891,66.030280373
2017-18,Ward,,Frome Vale,E05010899,66.4817968419
2017-18,Ward,,Lockleaze,E05010908,60.5489521208
2017-18,Ward,,Knowle,E05010906,69.9291708398
2017-18,Ward,,St George West,E05010912,65.8069430241
2017-18,Ward,,Hotwells & Harbourside,E05010905,85.6916713125
2017-18,Ward,,,,69.6198943145
2017-18,Ward,,Stoke Bishop,E05010916,81.742068487
2017-18,Ward,,Henbury & Brentry,E05010901,51.3657264594
2017-18,Ward,,Clifton,E05010893,90.6235851578
2017-18,Ward,,Hengrove & Whitchurch Park,E05010902,66.0720146829
2017-18,Ward,,Clifton Down,E05010894,90.3020625553
2017-18,Ward,,Westbury-on-Trym & Henleaze,E05010917,85.0545184231
2017-18,Ward,,Brislington East,E05010890,70.602655072
2017-18,Ward,,Easton,E05010896,63.420086749
2017-18,Ward,,Hartcliffe & Withywood,E05010900,48.038191236
2017-18,Ward,,St George Central,E05010910,63.6089114317
2017-18,Ward,,Southmead,E05010913,56.5153893822
2017-18,Ward,,Bishopsworth,E05010889,63.4102202442
2017-18,Ward,,Avonmouth & Lawrence Weston,E05010886,53.4352292981
2017-18,Ward,,Eastville,E05010897,50.0919403247
2017-18,Ward,,St George Troopers Hill,E05010911,81.1630010995
2017-18,Ward,,Ashley,E05010885,70.4367877675
2017-18,Ward,,Horfield,E05010904,79.215713238
2017-18,Ward,,Lawrence Hill,E05010907,53.8433676489
2018-19,Ward,,Clifton,E05010893,83.2554821697
2018-19,Ward,,Hengrove & Whitchurch Park,E05010902,61.4843132499
2018-19,Ward,,Bishopsworth,E05010889,60.4518931108
2018-19,Ward,,Avonmouth & Lawrence Weston,E05010886,59.8776797078
2018-19,Ward,,Horfield,E05010904,68.3308193609
2018-19,Ward,,Hotwells & Harbourside,E05010905,78.5376248281
2018-19,Ward,,Frome Vale,E05010899,48.8876086599
2018-19,Ward,,Knowle,E05010906,57.0331630074
2018-19,Ward,,Redland,E05010909,87.3140583769
2018-19,Ward,,Southmead,E05010913,49.9300507279
2018-19,Ward,,Lockleaze,E05010908,61.7409804924
2018-19,Ward,,Stoke Bishop,E05010916,72.4574011501
2018-19,Ward,,Bishopston & Ashley Down,E05010888,78.3342108412
2018-19,Ward,,Brislington West,E05010891,64.9543633744
2018-19,Ward,,,,64.1879246134
2018-19,Ward,,Eastville,E05010897,60.9362827515
2018-19,Ward,,Henbury & Brentry,E05010901,55.0806486065
2018-19,Ward,,Westbury-on-Trym & Henleaze,E05010917,82.6311761472
2018-19,Ward,,Easton,E05010896,55.0655187906
2018-19,Ward,,Hillfields,E05010903,48.0394411503
2018-19,Ward,,Lawrence Hill,E05010907,45.2527947876
2018-19,Ward,,Southville,E05010914,72.4956367158
2018-19,Ward,,St George Troopers Hill,E05010911,64.19923367
2018-19,Ward,,St George West,E05010912,46.8060727369
2018-19,Ward,,Windmill Hill,E05010918,81.4521063839
2018-19,Ward,,Central,E05010892,59.4441411075
2018-19,Ward,,Clifton Down,E05010894,86.3354361599
2018-19,Ward,,Cotham,E05010895,81.6369206665
2018-19,Ward,,Filwood,E05010898,45.3957382195
2018-19,Ward,,Hartcliffe & Withywood,E05010900,32.7775467093
2018-19,Ward,,St George Central,E05010910,62.4602736087
2018-19,Ward,,Stockwood,E05010915,63.5169291405
2018-19,Ward,,Ashley,E05010885,68.1810833742
2018-19,Ward,,Bedminster,E05010887,72.1694091207
2018-19,Ward,,Brislington East,E05010890,69.2773390665
2019-20,Ward,,Horfield,E05010904,75.3954939258
2019-20,Ward,,Lockleaze,E05010908,57.1323425156
2019-20,Ward,,Redland,E05010909,88.9712481937
2019-20,Ward,,Henbury & Brentry,E05010901,62.7477380608
2019-20,Ward,,Southville,E05010914,81.6072521184
2019-20,Ward,,Clifton Down,E05010894,92.2971044774
2019-20,Ward,,Filwood,E05010898,48.3085805253
2019-20,Ward,,Knowle,E05010906,70.714255199
2019-20,Ward,,Bedminster,E05010887,71.8275210562
2019-20,Ward,,Bishopsworth,E05010889,68.8801637663
2019-20,Ward,,Central,E05010892,56.2984957059
2019-20,Ward,,Frome Vale,E05010899,59.7980707358
2019-20,Ward,,Hengrove & Whitchurch Park,E05010902,61.0952289221
2019-20,Ward,,Hotwells & Harbourside,E05010905,85.0643879024
2019-20,Ward,,Southmead,E05010913,56.5093568506
2019-20,Ward,,Stoke Bishop,E05010916,81.824436104
2019-20,Ward,,,,66.9354631575
2019-20,Ward,,Cotham,E05010895,76.3959294167
2019-20,Ward,,Easton,E05010896,64.404165764
2019-20,Ward,,Eastville,E05010897,55.866124716
2019-20,Ward,,St George Central,E05010910,61.2848712428
2019-20,Ward,,St George Troopers Hill,E05010911,77.3878141457
2019-20,Ward,,Windmill Hill,E05010918,66.5873047582
2019-20,Ward,,Avonmouth & Lawrence Weston,E05010886,56.2707482556
2019-20,Ward,,Clifton,E05010893,88.6426839275
2019-20,Ward,,Hartcliffe & Withywood,E05010900,32.074682682
2019-20,Ward,,Hillfields,E05010903,51.9077755357
2019-20,Ward,,Lawrence Hill,E05010907,46.3513664573
2019-20,Ward,,St George West,E05010912,57.356876228
2019-20,Ward,,Stockwood,E05010915,75.8898172577
2019-20,Ward,,Westbury-on-Trym & Henleaze,E05010917,83.3033641075
2019-20,Ward,,Ashley,E05010885,67.5241593115
2019-20,Ward,,Bishopston & Ashley Down,E05010888,85.7112691704
2019-20,Ward,,Brislington East,E05010890,70.0230093418
2019-20,Ward,,Brislington West,E05010891,70.7504981825
2020-21,Ward,,Bishopsworth,E05010889,58.8494470156
2020-21,Ward,,Southville,E05010914,73.4452202081
2020-21,Ward,,Westbury-on-Trym & Henleaze,E05010917,83.7322649694
2020-21,Ward,,Hengrove & Whitchurch Park,E05010902,65.0351749335
2020-21,Ward,,Lawrence Hill,E05010907,44.7746434383
2020-21,Ward,,Avonmouth & Lawrence Weston,E05010886,54.7707296256
2020-21,Ward,,Brislington East,E05010890,69.50542018
2020-21,Ward,,Brislington West,E05010891,68.5218424031
2020-21,Ward,,Clifton,E05010893,85.094387792
2020-21,Ward,,Eastville,E05010897,61.4111232668
2020-21,Ward,,Hartcliffe & Withywood,E05010900,27.5041461781
2020-21,Ward,,Southmead,E05010913,38.6248117844
2020-21,Ward,,Frome Vale,E05010899,55.4612445119
2020-21,Ward,,Hillfields,E05010903,45.1378337545
2020-21,Ward,,Knowle,E05010906,63.8734804687
2020-21,Ward,,St George Central,E05010910,59.0555567056
2020-21,Ward,,Stoke Bishop,E05010916,84.3852480796
2020-21,Ward,,Windmill Hill,E05010918,60.2161507377
2020-21,Ward,,,,62.8698839926
2020-21,Ward,,Clifton Down,E05010894,88.9078411676
2020-21,Ward,,Cotham,E05010895,79.1222336542
2020-21,Ward,,Henbury & Brentry,E05010901,52.3307294228
2020-21,Ward,,Bedminster,E05010887,73.4546293282
2020-21,Ward,,Bishopston & Ashley Down,E05010888,78.1915619154
2020-21,Ward,,Easton,E05010896,54.2984378201
2020-21,Ward,,Redland,E05010909,78.3548274928
2020-21,Ward,,St George Troopers Hill,E05010911,64.6273715788
2020-21,Ward,,St George West,E05010912,52.3544015945
2020-21,Ward,,Ashley,E05010885,65.3436978366
2020-21,Ward,,Central,E05010892,53.3917846198
2020-21,Ward,,Filwood,E05010898,45.0816019747
2020-21,Ward,,Horfield,E05010904,68.510989571
2020-21,Ward,,Hotwells & Harbourside,E05010905,75.9868025315
2020-21,Ward,,Lockleaze,E05010908,64.2469484115
2020-21,Ward,,Stockwood,E05010915,56.9915698032
2017-18,Deprivation,Most Deprived 10%,,,48.2741830266
2017-18,Deprivation,Least Deprived 10%,,,88.7412621682
2018-19,Deprivation,Most Deprived 10%,,,37.2147127385
2018-19,Deprivation,Least Deprived 10%,,,83.9994929107
2019-20,Deprivation,Most Deprived 10%,,,39.5518848783
2019-20,Deprivation,Least Deprived 10%,,,86.1841302638
2020-21,Deprivation,Most Deprived 10%,,,32.8817308405
2020-21,Deprivation,Least Deprived 10%,,,85.6892427075
