Year,Units,Sex,Value
2004,Public Sector,,23.4
2005,Public Sector,,23.3
2006,Public Sector,,25.4
2007,Public Sector,,25.4
2008,Public Sector,,25.8
2009,Public Sector,,26.0
2010,Public Sector,,23.4
2011,Public Sector,,26.7
2012,Public Sector,,26.6
2013,Public Sector,,22.2
2014,Public Sector,,22.7
2015,Public Sector,,26.0
2016,Public Sector,,25.1
2017,Public Sector,,26.3
2018,Public Sector,,25.1
2019,Public Sector,,24.8
2004,Private Sector,,76.6
2005,Private Sector,,76.7
2006,Private Sector,,74.6
2007,Private Sector,,74.6
2008,Private Sector,,74.2
2009,Private Sector,,74.0
2010,Private Sector,,76.6
2011,Private Sector,,73.3
2012,Private Sector,,73.4
2013,Private Sector,,77.8
2014,Private Sector,,77.3
2015,Private Sector,,74.0
2016,Private Sector,,74.9
2017,Private Sector,,73.7
2018,Private Sector,,74.9
2019,Private Sector,,75.2
2004,Public Sector,Male,13.6
2005,Public Sector,Male,14.9
2006,Public Sector,Male,17.1
2007,Public Sector,Male,17.3
2008,Public Sector,Male,19.7
2009,Public Sector,Male,18.9
2010,Public Sector,Male,14.9
2011,Public Sector,Male,19.1
2012,Public Sector,Male,16.6
2013,Public Sector,Male,13.7
2014,Public Sector,Male,15.8
2015,Public Sector,Male,17.2
2016,Public Sector,Male,17.4
2017,Public Sector,Male,18.7
2018,Public Sector,Male,17.4
2019,Public Sector,Male,17.3
2004,Private Sector,Male,86.4
2005,Private Sector,Male,85.1
2006,Private Sector,Male,82.9
2007,Private Sector,Male,82.7
2008,Private Sector,Male,80.3
2009,Private Sector,Male,81.1
2010,Private Sector,Male,85.1
2011,Private Sector,Male,80.9
2012,Private Sector,Male,83.4
2013,Private Sector,Male,86.3
2014,Private Sector,Male,84.2
2015,Private Sector,Male,82.8
2016,Private Sector,Male,82.6
2017,Private Sector,Male,81.3
2018,Private Sector,Male,82.6
2019,Private Sector,Male,82.7
2004,Public Sector,Female,34.8
2005,Public Sector,Female,33.8
2006,Public Sector,Female,34.8
2007,Public Sector,Female,34.7
2008,Public Sector,Female,32.8
2009,Public Sector,Female,34.2
2010,Public Sector,Female,32.9
2011,Public Sector,Female,35.3
2012,Public Sector,Female,38.8
2013,Public Sector,Female,31.9
2014,Public Sector,Female,30.0
2015,Public Sector,Female,35.7
2016,Public Sector,Female,33.2
2017,Public Sector,Female,34.9
2018,Public Sector,Female,33.4
2019,Public Sector,Female,33.0
2004,Private Sector,Female,65.2
2005,Private Sector,Female,66.2
2006,Private Sector,Female,65.2
2007,Private Sector,Female,65.3
2008,Private Sector,Female,67.2
2009,Private Sector,Female,65.8
2010,Private Sector,Female,67.1
2011,Private Sector,Female,64.7
2012,Private Sector,Female,61.2
2013,Private Sector,Female,68.1
2014,Private Sector,Female,70.0
2015,Private Sector,Female,64.3
2016,Private Sector,Female,66.8
2017,Private Sector,Female,65.1
2018,Private Sector,Female,66.6
2019,Private Sector,Female,67.0
