Year,Renewable energy source,Value
2019,,194950.0
2018,,189357.0
2017,,138535.0
2016,,157281.0
2015,,156878.0
2014,,129258.0
2019,Photovoltaics,27256.0
2018,Photovoltaics,26397.0
2017,Photovoltaics,23631.0
2016,Photovoltaics,20496.0
2015,Photovoltaics,13198.0
2014,Photovoltaics,9631.0
2019,Onshore Wind,80600.0
2018,Onshore Wind,78362.0
2017,Onshore Wind,82231.0
2016,Onshore Wind,78005.0
2015,Onshore Wind,96342.0
2014,Onshore Wind,62012.0
2019,Anaerobic Digestion,15989.0
2018,Anaerobic Digestion,14538.0
2017,Anaerobic Digestion,15521.0
2016,Anaerobic Digestion,15249.0
2015,Anaerobic Digestion,15403.0
2014,Anaerobic Digestion,15216.0
2019,Sewage Gas,19246.0
2018,Sewage Gas,17411.0
2017,Sewage Gas,17152.0
2016,Sewage Gas,17080.0
2015,Sewage Gas,22162.0
2014,Sewage Gas,34158.0
2019,Municipal Solid Waste,51859.0
2018,Municipal Solid Waste,52648.0
2017,Municipal Solid Waste,
2016,Municipal Solid Waste,26451.0
2015,Municipal Solid Waste,9772.0
2014,Municipal Solid Waste,8241.0
