Year,Units,Value
2004,"Science, research, engineering and technology professionals",5.3
2005,"Science, research, engineering and technology professionals",6.0
2006,"Science, research, engineering and technology professionals",5.9
2007,"Science, research, engineering and technology professionals",6.6
2008,"Science, research, engineering and technology professionals",6.9
2009,"Science, research, engineering and technology professionals",6.0
2010,"Science, research, engineering and technology professionals",7.6
2011,"Science, research, engineering and technology professionals",7.2
2012,"Science, research, engineering and technology professionals",8.6
2013,"Science, research, engineering and technology professionals",8.0
2014,"Science, research, engineering and technology professionals",10.0
2015,"Science, research, engineering and technology professionals",7.1
2016,"Science, research, engineering and technology professionals",7.1
2017,"Science, research, engineering and technology professionals",8.7
2018,"Science, research, engineering and technology professionals",7.9
2019,"Science, research, engineering and technology professionals",9.5
2004,"Science, engineering and technology associate professionals",2.3
2005,"Science, engineering and technology associate professionals",2.2
2006,"Science, engineering and technology associate professionals",1.8
2007,"Science, engineering and technology associate professionals",1.8
2008,"Science, engineering and technology associate professionals",1.6
2009,"Science, engineering and technology associate professionals",1.6
2010,"Science, engineering and technology associate professionals",2.4
2011,"Science, engineering and technology associate professionals",2.5
2012,"Science, engineering and technology associate professionals",1.8
2013,"Science, engineering and technology associate professionals",3.3
2014,"Science, engineering and technology associate professionals",1.7
2015,"Science, engineering and technology associate professionals",1.2
2016,"Science, engineering and technology associate professionals",3.1
2017,"Science, engineering and technology associate professionals",2.1
2018,"Science, engineering and technology associate professionals",2.3
2019,"Science, engineering and technology associate professionals",1.5
