Year,Value,Units
2010,8.0,Number of people sleeping rough
2011,8.0,Number of people sleeping rough
2012,9.0,Number of people sleeping rough
2013,41.0,Number of people sleeping rough
2014,41.0,Number of people sleeping rough
2015,97.0,Number of people sleeping rough
2016,74.0,Number of people sleeping rough
2017,86.0,Number of people sleeping rough
2018,82.0,Number of people sleeping rough
2019,98.0,Number of people sleeping rough
2019,2089.0,Number of households owed a prevention or relief duty
2018,1722.0,Number of households owed a prevention or relief duty
