Year,Value,Units
2010-11,536.2,Kg/household
2011-12,503.8,Kg/household
2012-13,458.7,Kg/household
2013-14,500.9,Kg/household
2014-15,487.5,Kg/household
2015-16,492.0,Kg/household
2016-17,498.5,Kg/household
2017-18,462.9,Kg/household
2018-19,435.7,Kg/household
2019-20,430.9,Kg/household
2014-15,177414.0,Tonnes/Local authority
2015-16,181101.0,Tonnes/Local authority
2016-17,184753.0,Tonnes/Local authority
2017-18,179798.0,Tonnes/Local authority
2018-19,181878.0,Tonnes/Local authority
2019-20,184142.0,Tonnes/Local authority
