Year,Value,Units
2008,13.91,Workplace analysis
2009,14.66,Workplace analysis
2010,15.12,Workplace analysis
2011,14.87,Workplace analysis
2012,15.13,Workplace analysis
2013,15.67,Workplace analysis
2014,15.69,Workplace analysis
2015,15.49,Workplace analysis
2016,15.91,Workplace analysis
2017,16.21,Workplace analysis
2018,17.2,Workplace analysis
2019,17.98,Workplace analysis
2020,18.44,Workplace analysis
2008,12.98,Resident analysis
2009,13.62,Resident analysis
2010,13.8,Resident analysis
2011,13.9,Resident analysis
2012,13.83,Resident analysis
2013,14.45,Resident analysis
2014,14.54,Resident analysis
2015,14.69,Resident analysis
2016,15.08,Resident analysis
2017,15.49,Resident analysis
2018,16.28,Resident analysis
2019,17.18,Resident analysis
2020,17.7,Resident analysis
