National metadata,
Indicator available,"Participation rate in organized learning (one year before the official primary entry age), by sex"
Indicator description,"Participation rate in organized learning (one year before the official primary entry age), by sex"
National comparability,Comparable across UK local authorities
Unit of measurement,Percentage of children benefitting from early funded education places by local authority
Definitions,
Calculations,No calculations
Other information,
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Percentage of children benefitting from early funded education places by local authority
Indicator content,
Sources,
Source 1 organisation,Department for Education
Source 1 periodicity,Annual
Source 1 earliest available data,2011
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://www.gov.uk/government/statistics/education-provision-children-under-5-years-of-age-january-2019
Source 1 link to data source text,"Provision for children under 5, 2019 - main tables"
Source 1 release date,27/06/2019
Source 1 next release,TBA
Source 1 statistical classification,Official statistic
Source 1 contact details,EarlyYears.STATISTICS@education.gov.uk
Source 1 other information,
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
