Year,Units,Value
2010-11,Kg/household,536.2
2011-12,Kg/household,503.8
2012-13,Kg/household,458.7
2013-14,Kg/household,500.9
2014-15,Kg/household,487.5
2015-16,Kg/household,492.0
2016-17,Kg/household,498.5
2017-18,Kg/household,462.9
2018-19,Kg/household,435.7
2019-20,Kg/household,430.9
2014-15,Tonnes/Local authority,177414.0
2015-16,Tonnes/Local authority,181101.0
2016-17,Tonnes/Local authority,184753.0
2017-18,Tonnes/Local authority,179798.0
2018-19,Tonnes/Local authority,181878.0
2019-20,Tonnes/Local authority,184142.0
