Year,Series,Deprivation decile,Ward,GeoCode,Value
2017-18,Ward,,Ashley,E05010885,27.940444309
2017-18,Ward,,Easton,E05010896,24.5296432276
2017-18,Ward,,St George Troopers Hill,E05010911,25.3247350392
2017-18,Ward,,Avonmouth & Lawrence Weston,E05010886,26.5651658136
2017-18,Ward,,Knowle,E05010906,32.3357775377
2017-18,Ward,,St George West,E05010912,27.5294669855
2017-18,Ward,,Hartcliffe & Withywood,E05010900,20.8749794657
2017-18,Ward,,Brislington West,E05010891,26.4383971328
2017-18,Ward,,Clifton Down,E05010894,23.0046639568
2017-18,Ward,,Bishopston & Ashley Down,E05010888,30.6537060612
2017-18,Ward,,Westbury-on-Trym & Henleaze,E05010917,31.7783701608
2017-18,Ward,,Bedminster,E05010887,25.6351409629
2017-18,Ward,,Lockleaze,E05010908,15.2672881482
2017-18,Ward,,Windmill Hill,E05010918,42.1106989309
2017-18,Ward,,Stockwood,E05010915,7.28670410134
2017-18,Ward,,Hengrove & Whitchurch Park,E05010902,17.9986202978
2017-18,Ward,,Frome Vale,E05010899,16.6764929124
2017-18,Ward,,Bishopsworth,E05010889,22.1013326423
2017-18,Ward,,Brislington East,E05010890,18.3567505946
2017-18,Ward,,,,25.4947089315
2017-18,Ward,,Filwood,E05010898,32.8913066846
2017-18,Ward,,Hillfields,E05010903,17.0236599986
2017-18,Ward,,Southmead,E05010913,24.722438605
2017-18,Ward,,Stoke Bishop,E05010916,30.452369017
2017-18,Ward,,Henbury & Brentry,E05010901,19.8219665825
2017-18,Ward,,Central,E05010892,28.2314773156
2017-18,Ward,,St George Central,E05010910,11.5292304934
2017-18,Ward,,Eastville,E05010897,28.9450639291
2017-18,Ward,,Lawrence Hill,E05010907,30.9610819134
2017-18,Ward,,Horfield,E05010904,20.5738072613
2017-18,Ward,,Cotham,E05010895,31.1600096866
2017-18,Ward,,Southville,E05010914,31.7312463779
2017-18,Ward,,Redland,E05010909,29.4624181321
2017-18,Ward,,Clifton,E05010893,35.6946810033
2017-18,Ward,,Hotwells & Harbourside,E05010905,19.9341330966
2018-19,Ward,,Hengrove & Whitchurch Park,E05010902,11.3609985199
2018-19,Ward,,Easton,E05010896,22.3385367382
2018-19,Ward,,Frome Vale,E05010899,7.84876724929
2018-19,Ward,,Brislington West,E05010891,11.6026609925
2018-19,Ward,,Central,E05010892,19.2160488338
2018-19,Ward,,Hillfields,E05010903,15.982926004
2018-19,Ward,,St George Central,E05010910,17.0561642573
2018-19,Ward,,St George West,E05010912,19.1288996648
2018-19,Ward,,Stoke Bishop,E05010916,24.920263103
2018-19,Ward,,Redland,E05010909,16.2316862616
2018-19,Ward,,Southville,E05010914,22.2447989458
2018-19,Ward,,Stockwood,E05010915,14.6972448219
2018-19,Ward,,Henbury & Brentry,E05010901,19.4128733791
2018-19,Ward,,Lockleaze,E05010908,22.2079597079
2018-19,Ward,,Avonmouth & Lawrence Weston,E05010886,25.5496800592
2018-19,Ward,,Bishopsworth,E05010889,8.21744498767
2018-19,Ward,,Horfield,E05010904,14.125013871
2018-19,Ward,,Southmead,E05010913,15.1984671214
2018-19,Ward,,Westbury-on-Trym & Henleaze,E05010917,23.650134947
2018-19,Ward,,Ashley,E05010885,21.3678976044
2018-19,Ward,,Bedminster,E05010887,12.3700461032
2018-19,Ward,,Bishopston & Ashley Down,E05010888,16.0213057712
2018-19,Ward,,Clifton Down,E05010894,17.7319558642
2018-19,Ward,,Cotham,E05010895,21.7599021249
2018-19,Ward,,Filwood,E05010898,20.4574796386
2018-19,Ward,,Hotwells & Harbourside,E05010905,18.7251775175
2018-19,Ward,,Windmill Hill,E05010918,20.5707918204
2018-19,Ward,,,,17.5967619068
2018-19,Ward,,Brislington East,E05010890,8.45654267552
2018-19,Ward,,Clifton,E05010893,18.1637913055
2018-19,Ward,,Eastville,E05010897,18.7166373262
2018-19,Ward,,Hartcliffe & Withywood,E05010900,11.9219328477
2018-19,Ward,,Knowle,E05010906,17.5438305994
2018-19,Ward,,Lawrence Hill,E05010907,17.4450305122
2018-19,Ward,,St George Troopers Hill,E05010911,18.0408314091
2019-20,Ward,,Clifton Down,E05010894,13.8183712012
2019-20,Ward,,Ashley,E05010885,19.3847570781
2019-20,Ward,,Brislington East,E05010890,10.8447721989
2019-20,Ward,,Lockleaze,E05010908,23.1142331354
2019-20,Ward,,Redland,E05010909,21.3720690538
2019-20,Ward,,St George Central,E05010910,15.8033627247
2019-20,Ward,,Southville,E05010914,18.5223435397
2019-20,Ward,,Avonmouth & Lawrence Weston,E05010886,10.989688678
2019-20,Ward,,Central,E05010892,17.9072745752
2019-20,Ward,,Cotham,E05010895,27.1100874275
2019-20,Ward,,Hengrove & Whitchurch Park,E05010902,5.88951679517
2019-20,Ward,,Stoke Bishop,E05010916,21.082371157
2019-20,Ward,,Easton,E05010896,17.567431666
2019-20,Ward,,Eastville,E05010897,18.1269098995
2019-20,Ward,,Hillfields,E05010903,15.4039435065
2019-20,Ward,,Horfield,E05010904,19.9433148213
2019-20,Ward,,Hotwells & Harbourside,E05010905,18.7474248733
2019-20,Ward,,St George Troopers Hill,E05010911,27.5652724656
2019-20,Ward,,Clifton,E05010893,22.2840201901
2019-20,Ward,,Filwood,E05010898,15.2988053963
2019-20,Ward,,Henbury & Brentry,E05010901,25.6529430288
2019-20,Ward,,Windmill Hill,E05010918,21.3392424904
2019-20,Ward,,Bedminster,E05010887,27.3314399113
2019-20,Ward,,Bishopston & Ashley Down,E05010888,17.9015933256
2019-20,Ward,,Bishopsworth,E05010889,13.4516064117
2019-20,Ward,,Brislington West,E05010891,13.1817978496
2019-20,Ward,,Frome Vale,E05010899,18.0788940757
2019-20,Ward,,Hartcliffe & Withywood,E05010900,12.7452119407
2019-20,Ward,,Knowle,E05010906,23.59553365
2019-20,Ward,,Lawrence Hill,E05010907,22.1789435047
2019-20,Ward,,St George West,E05010912,21.2497323909
2019-20,Ward,,Southmead,E05010913,19.0012941238
2019-20,Ward,,Stockwood,E05010915,7.09227580015
2019-20,Ward,,Westbury-on-Trym & Henleaze,E05010917,20.656160746
2019-20,Ward,,,,18.071524594
2020-21,Ward,,,,21.1201119755
2020-21,Ward,,Hillfields,E05010903,17.3490987325
2020-21,Ward,,Central,E05010892,15.8077610299
2020-21,Ward,,Redland,E05010909,29.4679584318
2020-21,Ward,,St George Troopers Hill,E05010911,16.4369129378
2020-21,Ward,,Southmead,E05010913,16.8919111101
2020-21,Ward,,Stockwood,E05010915,10.3650085941
2020-21,Ward,,Brislington East,E05010890,11.7864259128
2020-21,Ward,,Easton,E05010896,24.6422849893
2020-21,Ward,,Ashley,E05010885,30.9360078232
2020-21,Ward,,Brislington West,E05010891,24.808993556
2020-21,Ward,,Hartcliffe & Withywood,E05010900,13.6676917716
2020-21,Ward,,Windmill Hill,E05010918,26.4692190266
2020-21,Ward,,Avonmouth & Lawrence Weston,E05010886,24.2307318867
2020-21,Ward,,Henbury & Brentry,E05010901,24.4834632133
2020-21,Ward,,Hengrove & Whitchurch Park,E05010902,12.1697431768
2020-21,Ward,,Hotwells & Harbourside,E05010905,14.805941324
2020-21,Ward,,Westbury-on-Trym & Henleaze,E05010917,28.6423518206
2020-21,Ward,,Bedminster,E05010887,21.0290423797
2020-21,Ward,,Bishopsworth,E05010889,16.7500260574
2020-21,Ward,,Frome Vale,E05010899,13.1909299202
2020-21,Ward,,St George Central,E05010910,19.590663998
2020-21,Ward,,St George West,E05010912,21.7835118681
2020-21,Ward,,Clifton,E05010893,19.4713535927
2020-21,Ward,,Cotham,E05010895,30.9949597907
2020-21,Ward,,Knowle,E05010906,23.6940596386
2020-21,Ward,,Lawrence Hill,E05010907,16.9631428505
2020-21,Ward,,Southville,E05010914,21.8460230441
2020-21,Ward,,Bishopston & Ashley Down,E05010888,31.7203670453
2020-21,Ward,,Clifton Down,E05010894,34.7698400628
2020-21,Ward,,Eastville,E05010897,20.4727048115
2020-21,Ward,,Filwood,E05010898,12.496975353
2020-21,Ward,,Horfield,E05010904,24.5457461221
2020-21,Ward,,Lockleaze,E05010908,25.2462472437
2020-21,Ward,,Stoke Bishop,E05010916,12.6815791596
2017-18,Deprivation,Most Deprived 10%,,,23.853124358
2017-18,Deprivation,Least Deprived 10%,,,27.8699517843
2018-19,Deprivation,Least Deprived 10%,,,21.0163353319
2018-19,Deprivation,Most Deprived 10%,,,16.9426597366
2019-20,Deprivation,Most Deprived 10%,,,16.0171815532
2019-20,Deprivation,Least Deprived 10%,,,17.657221147
2020-21,Deprivation,Least Deprived 10%,,,26.8086565765
2020-21,Deprivation,Most Deprived 10%,,,17.3249163505
