Year,Level,Subject,Sex,Unit,Value
2010,Key stage 1,Maths,Male,% reaching expected standard,
2011,Key stage 1,Maths,Male,% reaching expected standard,87.0
2012,Key stage 1,Maths,Male,% reaching expected standard,88.0
2013,Key stage 1,Maths,Male,% reaching expected standard,89.0
2014,Key stage 1,Maths,Male,% reaching expected standard,92.0
2015,Key stage 1,Maths,Male,% reaching expected standard,91.0
2016,Key stage 1,Maths,Male,% reaching expected standard,69.0
2017,Key stage 1,Maths,Male,% reaching expected standard,75.0
2018,Key stage 1,Maths,Male,% reaching expected standard,74.0
2010,Key stage 1,Maths,Female,% reaching expected standard,
2011,Key stage 1,Maths,Female,% reaching expected standard,90.0
2012,Key stage 1,Maths,Female,% reaching expected standard,92.0
2013,Key stage 1,Maths,Female,% reaching expected standard,93.0
2014,Key stage 1,Maths,Female,% reaching expected standard,92.0
2015,Key stage 1,Maths,Female,% reaching expected standard,94.0
2016,Key stage 1,Maths,Female,% reaching expected standard,72.0
2017,Key stage 1,Maths,Female,% reaching expected standard,74.0
2018,Key stage 1,Maths,Female,% reaching expected standard,75.0
2010,Key stage 1,Reading,Male,% reaching expected standard,
2011,Key stage 1,Reading,Male,% reaching expected standard,80.0
2012,Key stage 1,Reading,Male,% reaching expected standard,83.0
2013,Key stage 1,Reading,Male,% reaching expected standard,87.0
2014,Key stage 1,Reading,Male,% reaching expected standard,87.0
2015,Key stage 1,Reading,Male,% reaching expected standard,87.0
2016,Key stage 1,Reading,Male,% reaching expected standard,67.0
2017,Key stage 1,Reading,Male,% reaching expected standard,71.0
2018,Key stage 1,Reading,Male,% reaching expected standard,70.0
2010,Key stage 1,Reading,Female,% reaching expected standard,
2011,Key stage 1,Reading,Female,% reaching expected standard,87.0
2012,Key stage 1,Reading,Female,% reaching expected standard,91.0
2013,Key stage 1,Reading,Female,% reaching expected standard,92.0
2014,Key stage 1,Reading,Female,% reaching expected standard,92.0
2015,Key stage 1,Reading,Female,% reaching expected standard,93.0
2016,Key stage 1,Reading,Female,% reaching expected standard,76.0
2017,Key stage 1,Reading,Female,% reaching expected standard,76.0
2018,Key stage 1,Reading,Female,% reaching expected standard,77.0
2010,Key stage 2,Maths,Male,% reaching expected standard,81.0
2011,Key stage 2,Maths,Male,% reaching expected standard,79.0
2012,Key stage 2,Maths,Male,% reaching expected standard,83.0
2013,Key stage 2,Maths,Male,% reaching expected standard,83.0
2014,Key stage 2,Maths,Male,% reaching expected standard,83.0
2015,Key stage 2,Maths,Male,% reaching expected standard,84.0
2016,Key stage 2,Maths,Male,% reaching expected standard,69.0
2017,Key stage 2,Maths,Male,% reaching expected standard,74.0
2018,Key stage 2,Maths,Male,% reaching expected standard,74.0
2010,Key stage 2,Maths,Female,% reaching expected standard,79.0
2011,Key stage 2,Maths,Female,% reaching expected standard,80.0
2012,Key stage 2,Maths,Female,% reaching expected standard,84.0
2013,Key stage 2,Maths,Female,% reaching expected standard,85.0
2014,Key stage 2,Maths,Female,% reaching expected standard,83.0
2015,Key stage 2,Maths,Female,% reaching expected standard,86.0
2016,Key stage 2,Maths,Female,% reaching expected standard,68.0
2017,Key stage 2,Maths,Female,% reaching expected standard,74.0
2018,Key stage 2,Maths,Female,% reaching expected standard,75.0
2010,Key stage 2,Reading,Male,% reaching expected standard,79.0
2011,Key stage 2,Reading,Male,% reaching expected standard,76.0
2012,Key stage 2,Reading,Male,% reaching expected standard,81.0
2013,Key stage 2,Reading,Male,% reaching expected standard,83.0
2014,Key stage 2,Reading,Male,% reaching expected standard,85.0
2015,Key stage 2,Reading,Male,% reaching expected standard,84.0
2016,Key stage 2,Reading,Male,% reaching expected standard,63.0
2017,Key stage 2,Reading,Male,% reaching expected standard,68.0
2018,Key stage 2,Reading,Male,% reaching expected standard,71.0
2010,Key stage 2,Reading,Female,% reaching expected standard,85.0
2011,Key stage 2,Reading,Female,% reaching expected standard,86.0
2012,Key stage 2,Reading,Female,% reaching expected standard,88.0
2013,Key stage 2,Reading,Female,% reaching expected standard,88.0
2014,Key stage 2,Reading,Female,% reaching expected standard,88.0
2015,Key stage 2,Reading,Female,% reaching expected standard,90.0
2016,Key stage 2,Reading,Female,% reaching expected standard,70.0
2017,Key stage 2,Reading,Female,% reaching expected standard,76.0
2018,Key stage 2,Reading,Female,% reaching expected standard,76.0
2010,,,Female,% under 5 years who are developmentally on track,
2011,,,Female,% under 5 years who are developmentally on track,
2012,,,Female,% under 5 years who are developmentally on track,
2013,,,Female,% under 5 years who are developmentally on track,56.4
2014,,,Female,% under 5 years who are developmentally on track,66.0
2015,,,Female,% under 5 years who are developmentally on track,70.7
2016,,,Female,% under 5 years who are developmentally on track,73.9
2017,,,Female,% under 5 years who are developmentally on track,73.2
2018,,,Female,% under 5 years who are developmentally on track,75.4
2010,,,Male,% under 5 years who are developmentally on track,
2011,,,Male,% under 5 years who are developmentally on track,
2012,,,Male,% under 5 years who are developmentally on track,
2013,,,Male,% under 5 years who are developmentally on track,42.7
2014,,,Male,% under 5 years who are developmentally on track,51.0
2015,,,Male,% under 5 years who are developmentally on track,57.3
2016,,,Male,% under 5 years who are developmentally on track,59.1
2017,,,Male,% under 5 years who are developmentally on track,62.2
2018,,,Male,% under 5 years who are developmentally on track,64.2
