Year,Value,Series
2010-11,37.4,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2011-12,41.0,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2012-13,45.3,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2013-14,41.5,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2014-15,43.5,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2015-16,43.6,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2016-17,43.4,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2017-18,44.9,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2018-19,47.4,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2019-20,47.1,"Proportion ofhousehold waste sent for reuse, recycling or composting"
2010-11,57.7,Proportion of Municipal Waste sent to landfill
2011-12,38.7,Proportion of Municipal Waste sent to landfill
2012-13,25.8,Proportion of Municipal Waste sent to landfill
2013-14,31.2,Proportion of Municipal Waste sent to landfill
2014-15,29.2,Proportion of Municipal Waste sent to landfill
2015-16,28.0,Proportion of Municipal Waste sent to landfill
2016-17,27.7,Proportion of Municipal Waste sent to landfill
2017-18,19.9,Proportion of Municipal Waste sent to landfill
2018-19,14.4,Proportion of Municipal Waste sent to landfill
2019-20,18.5,Proportion of Municipal Waste sent to landfill
