Year,Value,Units
2020,9.6,Home (%)
2020,7.5,Work (%)
2019,12.7,Home (%)
2019,8.8,Work (%)
2018,17.9,Home (%)
2018,13.7,Work (%)
2017,17.6,Home (%)
2017,13.7,Work (%)
2016,17.4,Home (%)
2016,16.4,Work (%)
2015,11.6,Home (%)
2015,15.0,Work (%)
2014,13.9,Home (%)
2014,12.7,Work (%)
2013,11.9,Home (%)
2013,14.8,Work (%)
2012,7.3,Home (%)
2012,11.3,Work (%)
2011,16.4,Home (%)
2011,14.7,Work (%)
2010,11.5,Home (%)
2010,17.8,Work (%)
2009,19.4,Home (%)
2009,20.3,Work (%)
2008,19.4,Home (%)
2008,18.4,Work (%)
2007,21.4,Home (%)
2007,24.3,Work (%)
2006,13.8,Home (%)
2006,16.8,Work (%)
2005,20.2,Home (%)
2005,19.1,Work (%)
2004,19.6,Home (%)
2004,20.7,Work (%)
2003,15.8,Home (%)
2003,20.7,Work (%)
2002,19.5,Home (%)
2002,24.9,Work (%)
2001,30.5,Work (%)
2000,32.6,Work (%)
1999,27.3,Work (%)
1998,27.6,Work (%)
1997,31.5,Work (%)
