Value,Disaggregation combinations using this value,Number of indicators
1: Listening and Attention,3,1
10: Writing,3,1
11: Numbers,3,1
"12: Shape, space and measures",3,1
13: People and communities,3,1
14: The World,3,1
15: Technology,3,1
16: Exploring and using media and materials,3,1
17: Being imaginative,3,1
2: Understanding,3,1
3: Speaking,3,1
4: Moving and Handling,3,1
5: Health and Self-Care,3,1
6: Self-confidence and Self-awareness,3,1
7: Managing feelings and behaviour,3,1
8: Making relationships,3,1
9: Reading,3,1
