Value,Disaggregation combinations using this value,Number of indicators
Abberd Brook,3,1
Asham Wood Stream,1,1
Bathford Brook,3,1
Bitham Brook,10,1
Bradley Brook,15,1
Brinkworth Brook,43,1
Bristol Avon Catchment,12,1
Bristol Avon main river,137,1
Broadmead Brook,14,1
Buckland Brook,1,1
By Brook main river,60,1
Byde Mill Brook,5,1
Cam Brook,23,1
Charlton Stream,17,1
Conygre Brook,6,1
Doncombe Brook,6,1
Easton Grey Gravel Replenishment,3,1
Easton Grey,14,1
Egford Brook,4,1
Fisher's Brook,2,1
Gauze Brook,11,1
Hazel Brook,2,1
Holt Stream,1,1
Kilmersdon Brook,6,1
Ladden Brook,13,1
Lambrok Stream,3,1
Lid Brook,1,1
Luckington Brook,12,1
Maiden Bradley Stream,6,1
Main Bristol Frome,114,1
Main Chalfield Brook,8,1
Main Cowage Brook,14,1
Main Midford Brook,10,1
Main Newton Brook,5,1
Main River Biss,44,1
Main River Chew,120,1
Main River Marden,62,1
Main Semington Brook,57,1
Main Somerset Frome,142,1
Main Woodbridge Brook,7,1
Mells River,4,1
Mells Stream,11,1
Milebourne Stream,6,1
North Wraxall Brook,9,1
Norton Brook,2,1
Nunney Brook,7,1
River Boyd,20,1
River Somer,4,1
River Trym,12,1
River's Brook,5,1
Rodbourne Brook,6,1
Rodden Brook,12,1
Sherston Avon,42,1
Snails Brook,6,1
St. Catherines Brook,1,1
Stoke Brook,4,1
Summerham Brook,9,1
Tetbury Avon,25,1
Wellow Brook,45,1
Whatley Brook (Fordbury Water),9,1
Winford Brook,5,1
