Value,Disaggregation combinations using this value,Number of indicators
ABBOTSBURY B3157 PORTESHAM ROAD STW 13001,1,1
ABBOTSBURY CHURCH STREET SPS 15494,1,1
AFFPUDDLE SPS 14256,1,1
ALFORD STW 19837,1,1
ALL CANNINGS SPS 15111,1,1
ALLER CSO 16692,1,1
ALLINGTON OLD INN SPS 14304,1,1
ALLINGTON SPS 15120,1,1
AMESBURY FLOWER LANE SPS  14323,1,1
AMESBURY OFF CHURCH STREET STW  13008,1,1
ATWORTH PURLPIT SPS 14463,1,1
AUST STW 13012,1,1
AVONMOUTH KINGSWESTON LANE STW 13013,1,1
AVONMOUTH LOWER HIGH STREET O/S NO. 27 CSO 19885,1,1
AXBRIDGE OLD STW SITE SPS 13014,1,1
BALTONSBOROUGH BALTONSBOROUGH MAIN SPS 14097,1,1
BALTONSBOROUGH ORCHARD LEIGH CSO 16497,1,1
BARFORD ST MARTIN BURCOMBE STW 13015,1,1
BARFORD ST MARTIN SPS 14354,1,1
BARTON ST DAVID SPS 14283,1,1
BARTON ST DAVID TOOTAL BRIDGE SPS 15316,1,1
BATH AVON STREET O/S BATH TECHNICAL COLLEGE CSO 17532,1,1
BATH BATHEASTON BY-PASS CSO 19538,1,1
BATH BAYTREE ROAD ALLOTMENTS R/O NO 28 CSO 17538,1,1
BATH BECKHAMPTON ROAD O/S NO 50 CSO 16014,1,1
BATH BELLOTTS ROAD CSO 19704,1,1
BATH BEWDLEY ROAD CSO 17166,1,1
BATH BLOOMFIELD ROAD NO 33 JUNCTION WITH HENSLEY ROAD CSO 16110,1,1
BATH BRASSMILL LANE BETWEEN OSBOURN / AVONDALE ROAD CSO 16052,1,1
BATH BRASSMILL LANE OPP NO 22 CSO 17172,1,1
BATH BRASSMILL LANE O/S NO 62 CSO 17510,1,1
BATH BROAD QUAY / WESTGATE STREET JUNCTION CSO 17533,1,1
BATH CAR PARK ADJ J HUGHES COTTAGE CSO 17542,1,1
BATH CHURCHILL BRIDGE ISLAND OPP WELLS ROAD CSO 16117,1,1
BATH CLEVELAND BRIDGE TO THE WEST CSO 16073,1,1
BATH DARTMOUTH AVE NR ENTRANCE TO LINEAR PARK CSO 17589,1,1
BATH DORSET CLOSE O/S SCHOOL CSO 16017,1,1
BATH DURLEY PARK / OLDFIELD LANE JUNCTION CSO 16019,1,1
BATH EA DEPOT SPS 16050,1,1
BATH ENGLISHCOMBE LANE / SOUTHDOWN ROAD JUNCTION CSO 16123,1,1
BATH ENGLISHCOMBE LANE / STIRTINGDALE ROAD JUNCTION CSO 16011,1,1
BATH FAIRFIELD AVENUE R/O NO 30 CSO 17537,1,1
BATH FERRY LANE O/S FUNERAL DIRECTOR CSO 16046,1,1
BATH FIELDINGS ROAD CSO 16058,1,1
BATH FORESTER AVENUE O/S HORTON HOUSE CSO 16078,1,1
BATH FOX HILL O/S WOODLANDS COTTAGE CSO 16092,1,1
BATH GREEN PARK SYPHON INLET RIVER TOWPATH CSO 17531,1,1
BATH GROVE STREET OPP NO 13 CSO 16061,1,1
BATH GROVE STREET / ST JOHNS STREET JUNC NR BETHEL CH CSO 16064,1,1
BATH HAMPTON ROW / ROCKLIFFE AVENUE R/O (NR BATHS) CSO 16084,1,1
BATH HAZEL GROVE R/O NO 24 TO 39 CSO 16013,1,1
BATH HISCOCKS DRIVE ADJ TO RAILWAY BRIDGE CSO 16018,1,1
BATH HUNGERFORD ROAD / UPPER BRISTOL ROAD JUNCTION CSO 16035,1,1
BATH KENSINGTON MEADOWS BUS DEPOT STORM TANK INT 16083,1,1
BATH LADYMEAD HOUSE (R/O) WALCOT CSO 16067,1,1
BATH LAMBRIDGE RUGBY GROUND CARPARK CSO 17543,1,1
BATH LANSDOWN LANE / HIGH STREET JUNCTION WESTON CSO 17513,1,1
BATH LARKHALL TERRACE FIELD TO REAR CSO 17541,1,1
BATH LOOP ROAD WALCOT STREET CAR PARK CSO 16069,1,1
BATH LOWER BRISTOL ROAD NEAR MILL LANE CSO 16053,1,1
BATH LUCKLANDS ROAD O/S LAWN COTTAGE CSO 17524,1,1
BATH LYMORE GARDENS O/S NO 15 ADJ LAUNDRY CSO 16125,1,1
BATH LYNCOMBE VALE O/S 3 NEW VILLAS CSO 16093,1,1
BATH LYNCOMBE VALE O/S NO 1 CSO 16096,1,1
BATH MIDLAND ROAD TWERTON SPS 14002,1,1
BATH MOORLAND ROAD NEAR NO 49 CSO 16016,1,1
BATH NEWBRIDGE ROAD R/O NO 131 CSO 17511,1,1
BATH NEWMARKET ROW GRAND PARADE CSO 16089,1,1
BATH NORFOLK BUILDINGS CSO 16040,1,1
BATH PARADE GARDENS CSO 16088,1,1
BATH PRIOR PARK ROAD CSO 16095,1,1
BATH PRIOR PARK ROAD OPP NO 9 CSO 16099,1,1
BATH RAILWAY PLACE O/S ROYAL HOTEL CSO 17536,1,1
BATH RECREATION GROUND BY NORTH STAND CSO 16043,1,1
BATH ROCKCLIFFE ROAD R/O NO 45 CSO 16081,1,1
BATH RUSH HILL OPP CULVERHAY SCHOOL CSO 16119,1,1
BATH SOUTH PARADE IN GARDEN CSO 16042,1,1
BATH SOUTHDOWN ROAD O/S NO 85 NR GLEBE ROAD JUNCTION CSO 16122,1,1
BATH SOUTHGATE (NORTH END) ADJ LITTLEWOODS CSO 17534,1,1
BATH SOUTHLANDS RO NO 125 CSO 17514,1,1
BATH SPRING GARDENS ROAD U/S K&A CANAL SYPHON CSO 16090,1,1
BATH ST JOHNS RC PRIM SCHOOL AT REAR NR RECREATION GROUND CSO 16045,1,1
BATH ST JOHNS ROAD OPP VULCAN HOUSE CSO 16048,1,1
BATH ST JOHNS ROAD SCOUTS SITE CSO 16072,1,1
BATH STATION ROAD S/O 44 LOCKSBROOK ROAD CSO 16059,1,1
BATH TECHNOLOGY HOUSE SPS 16057,1,1
BATH UPPER BRISTOL ROAD ADJ MARLBOROUGH LANE CSO 17526,1,1
BATH WALCOT RIVER BANK END OF CHATHAM ROW CSO 16068,1,1
BATH WALCOT ST RIVER BANK R/O ALDRIDGES CSO 16070,1,1
BATH WALCOT TERRACE R/O NO 1 ON LONDON ROAD CSO 16077,1,1
BATH WARMINSTER ROAD / SYDNEY ROAD JUNCTION CSO 16049,1,1
BATH WELLSWAY / BLOOMFIELD ROAD JUNCTION BEAR FLAT CSO 16112,1,1
BATH WELLSWAY NR 372 CSO 19703,1,1
BATH WESTMORELAND ROAD / CHELTENHAM STREET JUNCTION CSO 16115,1,1
BATH WESTON VILLAGE SEWER CSO 17515,1,1
BATH WIDCOMBE BAPTIST CHURCH AT REAR CLAVERTON CSO 16098,1,1
BATH WINDSOR COURT CSO 17517,1,1
BATHAMPTON M H K CSO 16755,1,1
BATHAMPTON MILL LANE CSO 16758,1,1
BATHEASTON BATHEASTON GARDEN CSO 16772,1,1
BATHEASTON COALPIT ROAD JUNCTION WITH LONDON ROAD CSO 16753,1,1
BATHEASTON MILL HOUSE CSO 16757,1,1
BATHFORD OSTLING LANE CSO 16759,1,1
BATHPOOL HYDE LANE SPS 15435,1,1
BEAMINSTER SOUTHGATE SPS 14404,1,1
BECKINGTON STW 13017,1,1
BEER HACKETT SPS 14397,1,1
BERKELEY PARK VIEW ROAD SPS 14388,1,1
BICKNOLLER BICKNOLLER SO CSO 16888,1,1
BIDDESTONE MANOR COTTAGES SPS 14179,1,1
BILBROOK SPS 15516,1,1
BISHOP SUTTON SPS 14431,1,1
BISHOPS CAUNDLE BLIND LANE OFF A3030 STW 13021,1,1
BISHOPS LYDEARD CHURCH STREET CSO 17356,1,1
BISHOPS LYDEARD STW 13022,1,1
BITTON SPS 14067,1,1
BLACKFORD BLACKFORD MOOR LANE SPS 19663,1,1
BLACKHEATH STW 13024,1,1
BLAGDON STW 13025,1,1
BLANDFORD LANGTON ROAD (BLANDFORD NO 1) SPS 15206,1,1
BLANDFORD ST MARY BOURNEMOUTH ROAD SPS 15205,1,1
BLANDFORD ST MARY BREWERY NO 2 SPS 15197,1,1
BLEADNEY BLEADNEY MILL SPS 14072,1,1
BLEADON PURN SPS 15573,1,1
BLUE ANCHOR PILL BRIDGE SPS 14423,1,1
BOSCOMBE NO 1 SPS 15002,1,1
BOSSINGTON SPS 13389,1,1
BOURNEMOUTH COOPER DEAN DETENTION TANK INT 18015,1,1
BOURNEMOUTH FISHERMANS WALK CIS CSO 19266,1,1
BOURNEMOUTH IFORD LANE TUCKTON SPS 15007,1,1
BOURNEMOUTH NO 1 SPS 15019,1,1
BOURNEMOUTH TUCKTON ROAD O/S 156 CSO 16131,1,1
BOVINGTON LYTCHETT LANE SPS 19699,1,1
BOWERHILL SHAILS LANE STW 13028,1,1
BOX BOX RECREATION GROUND (ADJ TO) CSO 19052,1,1
BOX MILL LANE STW 13029,1,1
BOX VALENS TERRACE CSO 16605,1,1
BRADFORD ABBAS MILL LANE SPS 15282,1,1
BRADFORD-ON-AVON BARTON FARM TERMINAL P STN SPS 16920,1,1
BRADFORD-ON-AVON CULVER STREET RECREATION PARK OFF POUND CSO 16897,1,1
BRADFORD-ON-AVON MARKET STREET JUNCTION WITH CHURCH STREET CSO 16899,1,1
BRADFORD-ON-AVON MARKET STREET/ SILVER STREET JUNCTION CSO 16925,1,1
BRADFORD-ON-AVON SPRING FIELD AND WOOLLEY STREET JUNCTION CSO 16898,1,1
BRADFORD-ON-AVON STW 13031,1,1
BRADFORD ON TONE HOCKHOLLER A38 SPS 15468,1,1
BRADFORD ON TONE STW 13032,1,1
BRADFORD ON TONE TONE GREEN SPS 15463,1,1
BRADPOLE FISHWEIR FOUL SPS 15500,1,1
BRADPOLE LEE LANE SPS 15481,1,1
BRANSGORE WILTSHIRE GARDENS SPS 14132,1,1
BRIANTSPUDDLE SPS 14272,1,1
BRIDGWATER BLAKE GARDENS SPS 14378,1,1
BRIDGWATER BRISTOL ROAD SPS 14385,1,1
BRIDGWATER CHILTON STREET SALTLANDS SPS 14384,1,1
BRIDGWATER COLLEY LANE SPS 15415,1,1
BRIDGWATER EAST QUAY SPS 15243,1,1
BRIDGWATER HORSEY BATH ROAD SPS 15715,1,1
BRIDGWATER TAUNTON ROAD SPS 15393,1,1
BRIDGWATER WEST QUAY DRAWBRIDGE SPS 15400,1,1
BRIDPORT SOUTH BRIDGE TANK INT 15651,1,1
BRIDPORT SOUTH STREET DEPOT CSO 16813,1,1
BRIDPORT WEST BAY ROAD REAR GARDEN OF 13A CSO  17396,1,1
BRIDPORT WEST BAY SLUICES SPS 15507,1,1
BRIDPORT WEST BAY SPS  13334,1,1
BRIDPORT WEST BRIDGE CSO 16821,1,1
BRIDPORT WEST STREET CSO 16822,1,1
BRIDPORT WYCH FARM STW  19539,1,1
BRINKWORTH FOUL SEW O/F CSO  16575,1,1
BRINKWORTH STW 13035,1,1
BRISTOL ABBEY ROAD O/S NO 123 CSO 16365,1,1
BRISTOL ALMA ROAD O/S NO 87 CSO 16290,1,1
BRISTOL AMENITY LAND OPP NO.63 QUAKERS ROAD CSO  19780,1,1
BRISTOL ASHLEY DOWN ROAD ALLOTMENTS CSO 16348,1,1
BRISTOL ASHTON AVENUE SPS 14016,1,1
BRISTOL AVON STREET / OXFORD STREET CSO 16417,1,1
BRISTOL AVONMOUTH ROAD / WEST TOWN ROAD CSO 16414,1,1
BRISTOL AVONMOUTH ROAD / WEST TOWN ROAD CSO 16434,1,1
