Value,Disaggregation combinations using this value,Number of indicators
Abbey Farm,8,1
Ashton Hill Farm,12,1
Ashworthy Farm,4,1
Back Bridge,7,1
Baldham Farm,4,1
Barton Country Park,9,1
Blatchbridge (Te),13,1
"Boyd Farm, Golden Valley (Coarse Sentinel)",11,1
Brambles Farm (Se-02),2,1
Brinkworth,9,1
Brokenborough  (Se-05),6,1
Brook End (Se-05),4,1
Brook House,3,1
Buckland Dinham,1,1
Bull's Bridge,9,1
Byemills,7,1
Calne Cement Works (Se-02),3,1
Calne STW (Te),9,1
Carriers Farm,4,1
Castle Combe Golf Course (Se-02),7,1
Charlton,1,1
Cherry Orchard,2,1
Chew Magna,9,1
Chewton Keynsham,14,1
Chippenham (Te),20,1
Christian Malford (Te),17,1
"Church Farm, Broughton Gifford",6,1
Cleverton Road Bridge,1,1
Cloford,3,1
Cog Mill,8,1
Coleford,2,1
Colerne (Se-03),1,1
Coley,5,1
Colts Green (Se-03),5,1
Combe Dingle lower,4,1
Combe Dingle upper,6,1
Combe Hay,1,1
Compton Dando (Te),15,1
"Court Farm, Wick",6,1
Cow Bridge,8,1
Cowick Farm (Se-02),5,1
Crab Mill,8,1
Creamery (Te),18,1
Dalgety's,3,1
Damsons Bridge (Te),14,1
Dead Woman's Bottom (Se-01),1,1
Dodington (Coombes end),2,1
"Down Lane, Hullavington.",1,1
Doynton,3,1
Drewett's Mill,6,1
D/s Bathford Paper mill,12,1
D/S Calne,6,1
D/S Chew Valley Lake (Te),11,1
d/s Fosse Way,6,1
D/s Home Farm,3,1
D/s Hyam Farm,9,1
d/s Malmesbury bypass,8,1
D/S Of Camerton,2,1
D/S Of Wellow,2,1
D/S Rodbourne Road Bridge,1,1
D/S Scutts Bridge (Te),14,1
D/S Stanton St Quintin,1,1
Dunkerton (Se-04),5,1
Easton Grey Gravel Replenishment - Site 1,1,1
Easton Grey Gravel Replenishment - Site 2,1,1
Easton Grey Gravel Replenishment - Site 3,1,1
Easton Town Bridge (Se-05),7,1
Eastville Park (Te),18,1
Edford Woods (Se-01),3,1
Fisher's Brook Cottages,2,1
Fosse Way (Se-03),2,1
Fosseway (Se-03),5,1
Foxhills,2,1
Frampton Cotterell,8,1
"Frenchay, Chapel Lane",7,1
"Frenchay, Flock Mill (Te)",15,1
Gatcombe Mill Brook,2,1
Gatcombe Mill,3,1
Great Chalfield Manor,1,1
Great Cheverell Mill,4,1
Great Somerford (Te),17,1
Greenacres,4,1
Hallatrow,1,1
"Hapsford House, d/s depleted reach",3,1
"Hapsford Mill, d/s tail race",1,1
Hayle Farm (Se-02),5,1
Holt Manor,1,1
Hookers Gate,8,1
Horse Bridge (Te),7,1
Hullavington.,1,1
Hurst Farm,5,1
Iron Mill Farm (Se-03),5,1
Kendricks Farm,1,1
Keynsham Park (Te),12,1
Kilmersdon,4,1
Knights Farm,4,1
Lacock (Te),20,1
Ladbrookside Farm,2,1
Ladydown Mill,11,1
Latteridge Pumping Station (Te),7,1
Littleton Mill (Se-04),5,1
Long Dean,6,1
Longhouse Farm,10,1
Lower Egford Farm,4,1
Lower Shirehill Farm,2,1
Lower Wraxall,1,1
Luckington Court,4,1
Manor Farm,6,1
Meadowmead,11,1
Melksham,16,1
Merchants Farm,7,1
Middlehill,8,1
Midsomer Norton Sports Hall,1,1
Mill Farm Bulkington,6,1
Mill Farm,4,1
Mill Hill,8,1
Monkton Combe,3,1
Mount Scylla Wood,2,1
Murder Combe,3,1
Nettleton Mill,3,1
New Farm,3,1
New House Farm,3,1
New Leaze Farm,13,1
Nibley (Se-03),8,1
Noah's Ark Pumping Station,3,1
Norney Bridge,7,1
North Wraxall,2,1
Norton Stw,1,1
Nunney STW (Se-01),4,1
Old Down Wood,6,1
Old Hurst Farm (Se-01),6,1
Oldbury Court,13,1
Oldford Farm,7,1
Oxen Leaze Farm (Se-01),10,1
Paglinch Farm,5,1
Pantry Bridge (Te),8,1
Penleigh Farm (Se-03),4,1
Pennsylvania Farm (Se-05),5,1
Penny Well,2,1
Pensford (Te),16,1
Pinkney Mill,4,1
Priston Mill (Se-05),6,1
Radford Mill,1,1
Radstock,2,1
Railford Bridge,4,1
Railford Mill,2,1
Ratford Bridge,9,1
Rawlings Farm (Te),13,1
Riverside Gardens,1,1
Road Bridge (Se-04),7,1
Rodbourne P.S.,5,1
Rodbourne Road Bridge u/s,4,1
Rodden Farm (Te),12,1
Rowde Mill (Se-01),6,1
Ruckley,3,1
Scott's Mill,9,1
Seend Bridge Farm,3,1
Seven Acres,4,1
Sherston Avon at Easton Grey - Site 1 Bottom Riffl,5,1
Sherston Avon at Easton Grey - Site 2,3,1
Sherston Avon at Easton Grey - Site 3,3,1
Sherston Avon at Easton Grey - Site 4 Top Riffle,3,1
Shoscombe,3,1
Shrowl Bridge (Te),13,1
Siston Brook,4,1
Slaughterford,7,1
Snarlton Farm (Te),15,1
Somerford Bridge (Te),15,1
South Stoke,2,1
Sprays Farm (Se-02),3,1
St Johns Park,4,1
Stanley,11,1
Stanton Drew (Te),18,1
Steanbridge Rd,4,1
Stony Littleton,5,1
Studley Green,3,1
Sunset Hill,5,1
Tanners Bridge,6,1
"Tellisford, Depleted Reach",15,1
Tellisford (Te06),14,1
Temple Bridge (Se-04),7,1
Trench Lane,5,1
Tubbs Elastics,6,1
Tucking Mill (Se-04),3,1
Tuckson Wood,1,1
Twinhoe,2,1
u/s Blackball Hatch (Te),9,1
u/s Brinkworth Bridge,7,1
U/S Cleeve Mill,2,1
u/s Hyam Farm,7,1
u/s Kingsmead Mill,9,1
U/S Of Corston (Se-05),4,1
U/s Waterside Farm,3,1
U/S West Kington,1,1
U/S Yarn Brook,5,1
Valley Farm,1,1
Vernal Lodge,10,1
Watley's End,7,1
Weavern (Se-03),9,1
Welshmill,12,1
Welton (Se-04),10,1
West Kington,3,1
West Lavington (Se-01),2,1
Whaddon Grove Farm,7,1
White Bridge,4,1
Winterbourne (Te),10,1
Worton,4,1
Wraxall Park Lower,2,1
Wraxall Park Middle,2,1
Wraxall Park Upper,2,1
Wraxhall Park,3,1
Writhlington,2,1
