Value,Disaggregation combinations using this value,Number of indicators
Ashley,1,1
Avonmouth & Lawrence Weston,1,1
Bedminster,1,1
Bishopston & Ashley Down,1,1
Bishopsworth,1,1
Brislington East,1,1
Brislington West,1,1
Central,1,1
Clifton Down,1,1
Clifton,1,1
Cotham,1,1
Easton,1,1
Eastville,1,1
Filwood,1,1
Frome Vale,1,1
Hartcliffe & Withywood,1,1
Henbury & Brentry,1,1
Hengrove & Whitchurch Park,1,1
Hillfields,1,1
Horfield,1,1
Hotwells & Harbourside,1,1
Knowle,1,1
Lawrence Hill,1,1
Lockleaze,1,1
Redland,1,1
Southmead,1,1
Southville,1,1
St George Central,1,1
St George Troopers Hill,1,1
St George West,1,1
Stockwood,1,1
Stoke Bishop,1,1
Westbury-on-Trym & Henleaze,1,1
Windmill Hill,1,1
