Value,Disaggregation combinations using this value,Number of indicators
Ashley,3,2
Avonmouth & Lawrence Weston,3,2
Bedminster,3,2
Bishopston & Ashley Down,3,2
Bishopsworth,3,2
Brislington East,3,2
Brislington West,3,2
Central,3,2
Clifton Down,3,2
Clifton,3,2
Cotham,3,2
Easton,3,2
Eastville,3,2
Filwood,3,2
Frome Vale,3,2
Hartcliffe & Withywood,3,2
Henbury & Brentry,3,2
Hengrove & Whitchurch Park,3,2
Hillfields,3,2
Horfield,3,2
Hotwells & Harbourside,3,2
Knowle,3,2
Lawrence Hill,3,2
Lockleaze,3,2
Redland,3,2
Southmead,3,2
Southville,3,2
St George Central,3,2
St George Troopers Hill,3,2
St George West,3,2
Stockwood,3,2
Stoke Bishop,3,2
Westbury-on-Trym & Henleaze,3,2
Windmill Hill,3,2
